,Transplant Year,Age Group,All Donor Types,Deceased Donor,Living Donor
186,2001,50-64 Years,9151,7153,1998
187,2001,65 +,1874,1461,413
189,2000,< 1 Year,268,208,60
190,2000,1-5 Years,403,291,112
191,2000,6-10 Years,284,204,80
192,2000,11-17 Years,652,427,225
193,2000,18-34 Years,3559,2228,1331
194,2000,35-49 Years,7860,5793,2067
195,2000,50-64 Years,8428,6728,1700
196,2000,65 +,1820,1456,364
198,1999,< 1 Year,275,217,58
199,1999,1-5 Years,409,283,126
200,1999,6-10 Years,279,188,91
201,1999,11-17 Years,700,458,242
202,1999,18-34 Years,3538,2251,1287
203,1999,35-49 Years,7516,5855,1661
204,1999,50-64 Years,7794,6469,1325
205,1999,65 +,1519,1290,229
207,1998,< 1 Year,291,253,38
208,1998,1-5 Years,391,295,96
209,1998,6-10 Years,313,221,92
210,1998,11-17 Years,661,430,231
211,1998,18-34 Years,3604,2349,1255
212,1998,35-49 Years,7383,5862,1521
213,1998,50-64 Years,7414,6292,1122
214,1998,65 +,1469,1278,191
216,1997,< 1 Year,278,229,49
217,1997,1-5 Years,450,330,120
218,1997,6-10 Years,275,205,70
219,1997,11-17 Years,647,420,227
220,1997,18-34 Years,3550,2402,1148
221,1997,35-49 Years,7086,5752,1334
222,1997,50-64 Years,6811,5857,954
223,1997,65 +,1219,1071,148
225,1996,< 1 Year,246,206,40
226,1996,1-5 Years,416,315,101
227,1996,6-10 Years,273,184,89
228,1996,11-17 Years,662,446,216
229,1996,18-34 Years,3546,2381,1165
230,1996,35-49 Years,7036,5748,1288
231,1996,50-64 Years,6442,5688,754
232,1996,65 +,1144,1015,129
234,1995,< 1 Year,227,190,37
235,1995,1-5 Years,395,307,88
236,1995,6-10 Years,292,207,85
237,1995,11-17 Years,697,451,246
238,1995,18-34 Years,3677,2631,1046
239,1995,35-49 Years,6917,5737,1180
240,1995,50-64 Years,6177,5489,688
241,1995,65 +,1014,909,105
243,1994,< 1 Year,262,229,33
244,1994,1-5 Years,405,331,74
245,1994,6-10 Years,260,194,66
246,1994,11-17 Years,630,437,193
247,1994,18-34 Years,3710,2600,1110
248,1994,35-49 Years,6488,5461,1027
249,1994,50-64 Years,5722,5196,526
250,1994,65 +,822,763,59
252,1993,< 1 Year,235,214,21
253,1993,1-5 Years,450,336,114
254,1993,6-10 Years,266,197,69
255,1993,11-17 Years,582,377,205
256,1993,18-34 Years,3806,2749,1057
257,1993,35-49 Years,6103,5197,906
258,1993,50-64 Years,5441,4967,474
259,1993,65 +,748,696,52
261,1992,< 1 Year,233,216,17
262,1992,1-5 Years,390,308,82
263,1992,6-10 Years,221,144,77
264,1992,11-17 Years,535,365,170
265,1992,18-34 Years,3616,2685,931
266,1992,35-49 Years,5699,4852,847
267,1992,50-64 Years,4773,4379,394
268,1992,65 +,667,614,53
270,1991,< 1 Year,285,268,17
271,1991,1-5 Years,384,299,85
272,1991,6-10 Years,262,166,96
273,1991,11-17 Years,525,349,176
274,1991,18-34 Years,3713,2754,959
275,1991,35-49 Years,5564,4804,760
276,1991,50-64 Years,4466,4155,311
277,1991,65 +,557,534,23
279,1990,< 1 Year,241,228,13
280,1990,1-5 Years,364,302,62
281,1990,6-10 Years,239,173,66
282,1990,11-17 Years,552,392,160
283,1990,18-34 Years,3691,2793,898
284,1990,35-49 Years,5316,4676,640
285,1990,50-64 Years,4137,3880,257
286,1990,65 +,461,434,27
288,1989,< 1 Year,202,198,4
289,1989,1-5 Years,342,277,65
290,1989,6-10 Years,228,166,62
291,1989,11-17 Years,481,319,162
292,1989,18-34 Years,3468,2655,813
293,1989,35-49 Years,4701,4133,568
294,1989,50-64 Years,3426,3189,237
295,1989,65 +,292,285,7
297,1988,< 1 Year,130,123,7
298,1988,1-5 Years,312,259,53
299,1988,6-10 Years,215,170,45
300,1988,11-17 Years,539,369,170
301,1988,18-34 Years,3434,2581,853
302,1988,35-49 Years,4483,3982,501
303,1988,50-64 Years,3245,3055,190
304,1988,65 +,265,255,10
