,Transplant Year,Age Group,N,Graft_Survival_Rate_1 ,Patient_Survival_Rate_1
142,2004,50-64,5254.0,91.64,95.15
143,2004,65+,1762.0,88.3,91.18
144,2003,<1 Year,,,
145,2003,1-5 Years,145.0,94.47,97.92
146,2003,6-10 Years,138.0,92.0,97.81
147,2003,11-17 Years,432.0,93.93,98.83
148,2003,18-34,2055.0,94.41,98.92
149,2003,35-49,3860.0,93.2,97.5
150,2003,50-64,4867.0,91.01,94.88
151,2003,65+,1601.0,88.28,91.65
152,2002,<1 Year,5.0,0.0,0.0
153,2002,1-5 Years,137.0,91.16,96.31
154,2002,6-10 Years,146.0,96.58,99.32
155,2002,11-17 Years,385.0,95.3,99.74
156,2002,18-34,2100.0,94.19,98.61
157,2002,35-49,3885.0,93.13,97.54
158,2002,50-64,4697.0,90.3,94.48
159,2002,65+,1459.0,87.71,91.34
160,2001,<1 Year,4.0,0.0,0.0
161,2001,1-5 Years,146.0,95.87,97.9
162,2001,6-10 Years,125.0,94.4,99.2
163,2001,11-17 Years,386.0,94.99,99.21
164,2001,18-34,2201.0,93.65,98.71
165,2001,35-49,3886.0,93.35,97.46
166,2001,50-64,4445.0,90.12,94.04
167,2001,65+,1245.0,85.0,89.78
168,2000,<1 Year,4.0,0.0,0.0
169,2000,1-5 Years,101.0,89.04,98.0
170,2000,6-10 Years,110.0,94.55,98.18
171,2000,11-17 Years,344.0,92.67,99.71
172,2000,18-34,2161.0,92.54,98.6
173,2000,35-49,3862.0,92.74,97.13
174,2000,50-64,4095.0,89.4,93.02
175,2000,65+,1159.0,85.87,89.78
176,1999,<1 Year,8.0,0.0,0.0
177,1999,1-5 Years,131.0,93.09,98.44
178,1999,6-10 Years,126.0,95.2,99.19
179,1999,11-17 Years,394.0,93.88,99.23
180,1999,18-34,2177.0,92.4,98.33
181,1999,35-49,3613.0,92.35,97.19
182,1999,50-64,3871.0,88.9,93.32
183,1999,65+,906.0,84.86,89.13
184,1998,<1 Year,3.0,0.0,0.0
185,1998,1-5 Years,106.0,93.38,100.0
186,1998,6-10 Years,136.0,96.29,97.77
187,1998,11-17 Years,332.0,93.02,98.78
188,1998,18-34,2150.0,92.93,98.64
189,1998,35-49,3674.0,93.13,97.39
190,1998,50-64,3598.0,89.7,94.11
191,1998,65+,876.0,84.7,89.1
192,1997,<1 Year,3.0,0.0,0.0
193,1997,1-5 Years,125.0,89.56,97.58
194,1997,6-10 Years,119.0,97.48,100.0
195,1997,11-17 Years,350.0,92.81,98.26
196,1997,18-34,2055.0,93.09,98.53
197,1997,35-49,3547.0,91.94,96.54
198,1997,50-64,3336.0,89.05,92.74
199,1997,65+,688.0,83.63,87.9
200,1996,<1 Year,6.0,0.0,0.0
201,1996,1-5 Years,126.0,87.97,98.39
202,1996,6-10 Years,129.0,91.46,99.22
203,1996,11-17 Years,355.0,92.08,98.86
204,1996,18-34,2127.0,92.12,98.34
205,1996,35-49,3547.0,90.45,96.8
206,1996,50-64,3011.0,88.18,93.33
207,1996,65+,658.0,84.13,89.31
208,1995,<1 Year,7.0,0.0,0.0
209,1995,1-5 Years,104.0,88.46,96.14
210,1995,6-10 Years,124.0,91.12,97.56
211,1995,11-17 Years,390.0,88.66,98.44
212,1995,18-34,2184.0,90.68,98.12
213,1995,35-49,3476.0,89.14,96.49
214,1995,50-64,2798.0,86.55,92.32
215,1995,65+,577.0,83.09,87.29
216,1994,<1 Year,3.0,0.0,0.0
217,1994,1-5 Years,83.0,87.95,96.39
218,1994,6-10 Years,110.0,88.05,98.14
219,1994,11-17 Years,364.0,90.64,97.52
220,1994,18-34,2250.0,89.35,98.21
221,1994,35-49,3365.0,87.91,96.28
222,1994,50-64,2582.0,85.5,92.56
223,1994,65+,489.0,81.97,88.89
224,1993,<1 Year,5.0,0.0,0.0
225,1993,1-5 Years,125.0,83.97,97.55
226,1993,6-10 Years,116.0,87.06,97.4
227,1993,11-17 Years,318.0,90.5,98.41
228,1993,18-34,2322.0,89.26,97.83
229,1993,35-49,3211.0,88.34,96.25
230,1993,50-64,2452.0,84.2,91.73
231,1993,65+,427.0,78.43,85.0
232,1992,<1 Year,4.0,0.0,0.0
233,1992,1-5 Years,99.0,87.88,93.92
234,1992,6-10 Years,105.0,92.38,99.05
235,1992,11-17 Years,271.0,90.41,97.04
236,1992,18-34,2128.0,89.67,97.26
237,1992,35-49,3013.0,88.82,95.54
238,1992,50-64,2113.0,85.15,91.16
239,1992,65+,395.0,82.74,88.03
240,1991,<1 Year,10.0,0.0,0.0
241,1991,1-5 Years,97.0,91.75,95.88
242,1991,6-10 Years,121.0,91.71,98.33
243,1991,11-17 Years,260.0,93.43,98.84
244,1991,18-34,2209.0,90.87,97.68
245,1991,35-49,2952.0,88.17,95.64
246,1991,50-64,1971.0,85.4,92.12
247,1991,65+,318.0,80.9,85.48
248,1990,<1 Year,5.0,0.0,0.0
249,1990,1-5 Years,91.0,81.32,87.91
250,1990,6-10 Years,112.0,93.75,97.32
251,1990,11-17 Years,272.0,87.8,98.16
252,1990,18-34,2178.0,89.32,97.41
253,1990,35-49,2859.0,86.06,93.93
254,1990,50-64,1947.0,82.74,89.91
255,1990,65+,274.0,78.43,85.4
256,1989,<1 Year,5.0,0.0,0.0
257,1989,1-5 Years,95.0,92.61,97.86
258,1989,6-10 Years,104.0,83.64,96.09
259,1989,11-17 Years,266.0,87.91,95.47
260,1989,18-34,2059.0,87.2,96.2
261,1989,35-49,2630.0,85.14,94.47
262,1989,50-64,1688.0,81.3,89.54
263,1989,65+,191.0,75.33,83.15
264,1988,<1 Year,7.0,0.0,0.0
265,1988,1-5 Years,81.0,76.54,91.12
266,1988,6-10 Years,83.0,80.72,96.36
267,1988,11-17 Years,271.0,85.19,96.65
268,1988,18-34,2076.0,86.15,95.63
269,1988,35-49,2579.0,83.17,93.57
270,1988,50-64,1654.0,80.53,88.41
271,1988,65+,195.0,70.23,78.43
