,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
164,1999,18-34,2177,83.38,96.41,2570,1148,952,349,121,103,220,970,255,3,1,404,31,91,311,181,2054,838,489,0,123,24,10,0
165,1999,35-49,3613,84.84,93.41,4288,1863,1649,558,217,45,800,1108,541,9,3,483,388,212,491,208,5211,1261,723,1,232,57,31,0
166,1999,50-64,3871,80.42,86.75,4208,1771,1651,557,228,28,1200,710,638,13,4,465,513,216,224,197,5531,1186,721,0,260,73,23,0
167,1999,65+,906,71.96,77.24,951,391,405,104,51,5,236,162,181,4,1,139,75,74,30,44,1145,188,127,0,39,12,8,0
168,1998,<1 Year,3,0,0,3,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,197,35,48,0,7,1,2,1
169,1998,1-5 Years,106,91.46,99.03,115,57,40,15,2,34,0,20,0,2,0,32,11,2,5,9,218,90,65,0,13,3,2,0
170,1998,6-10 Years,136,89.31,97.77,153,79,40,25,9,43,0,47,0,0,1,27,10,2,8,15,201,50,52,0,5,3,2,0
171,1998,11-17 Years,332,83.3,97.83,393,194,132,50,16,80,0,125,5,0,0,92,2,5,37,47,419,129,83,0,16,8,6,0
172,1998,18-34,2150,83.42,96.59,2604,1188,967,311,138,89,270,1028,258,2,2,423,49,70,221,192,2208,779,486,0,95,16,19,1
173,1998,35-49,3674,85.11,93.29,4342,1940,1684,546,170,55,849,1133,585,4,4,599,398,181,303,231,5025,1286,747,2,237,55,31,0
174,1998,50-64,3598,80.84,86.92,3934,1700,1525,515,194,19,1104,720,595,7,4,516,473,178,144,174,5285,1104,698,2,257,55,13,0
175,1998,65+,876,73.14,77.84,911,386,380,106,39,3,205,160,180,6,3,139,84,55,17,59,1119,175,117,0,44,9,5,0
176,1997,<1 Year,3,0,0,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,186,24,51,0,10,2,5,0
177,1997,1-5 Years,125,83.74,93.32,132,64,43,19,6,56,0,17,0,4,0,37,4,0,2,12,290,71,69,0,15,2,3,0
178,1997,6-10 Years,119,94,100,137,73,45,17,2,46,0,30,0,0,0,23,4,1,10,23,165,55,45,0,6,2,2,0
179,1997,11-17 Years,350,84.38,97.06,405,188,152,46,19,81,0,153,4,1,0,86,4,3,25,48,410,135,77,0,13,6,6,0
180,1997,18-34,2055,84.5,96.43,2487,1104,961,316,106,91,256,995,245,4,1,408,37,72,200,178,2239,734,415,0,130,17,15,0
181,1997,35-49,3547,83.6,92.77,4181,1830,1628,543,180,38,839,1137,620,6,0,480,374,180,287,220,4889,1237,669,0,228,41,22,0
182,1997,50-64,3336,79.72,86.13,3647,1594,1454,425,174,19,985,645,608,8,1,442,466,183,119,171,4910,1075,573,2,178,48,25,0
183,1997,65+,688,70.1,75.22,718,283,303,93,39,2,158,136,153,4,0,101,74,35,11,44,965,133,77,0,37,4,3,0
184,1996,<1 Year,6,0,0,7,5,1,0,1,2,0,0,0,0,0,4,1,0,0,0,152,49,37,0,7,1,0,0
185,1996,1-5 Years,126,81.26,95.84,139,63,55,17,4,46,0,15,1,1,0,32,15,2,4,23,272,70,60,0,10,1,3,0
186,1996,6-10 Years,129,85.82,96.61,146,71,55,13,7,43,0,40,1,1,1,28,7,0,5,20,172,45,45,0,7,4,0,0
187,1996,11-17 Years,355,78.79,97.12,417,207,146,43,21,83,2,146,5,1,0,77,8,4,33,58,395,139,102,0,18,7,1,0
188,1996,18-34,2127,82.58,95.61,2574,1205,964,296,109,116,320,1037,264,9,6,327,38,78,171,208,2286,726,414,0,83,22,15,0
189,1996,35-49,3547,82.11,92.35,4162,1797,1650,502,213,49,905,1117,580,5,20,461,395,204,198,228,4909,1249,591,0,203,61,22,1
190,1996,50-64,3011,79.62,86.07,3285,1430,1326,376,153,23,850,696,490,10,11,363,395,171,78,198,4660,962,559,1,185,54,20,1
191,1996,65+,658,72.9,77.88,681,299,277,75,30,3,155,133,135,2,3,79,67,38,8,58,903,124,79,0,32,5,1,0
192,1995,<1 Year,7,0,0,7,2,4,0,1,3,0,0,0,0,0,4,0,0,0,0,162,14,39,0,11,0,1,0
193,1995,1-5 Years,104,83.63,94.17,112,55,44,11,2,34,0,14,0,2,0,33,3,2,5,19,245,66,67,0,14,3,0,0
194,1995,6-10 Years,124,86.12,95.86,147,66,55,20,6,38,1,39,1,3,0,23,7,2,9,24,184,49,47,0,6,6,0,0
195,1995,11-17 Years,390,78.23,97.38,454,212,157,69,16,82,3,174,2,3,1,80,12,6,25,66,427,130,106,0,19,13,2,0
196,1995,18-34,2184,80.81,96.07,2624,1221,985,300,118,116,347,1095,243,6,1,326,53,93,140,204,2326,753,468,0,91,23,15,1
197,1995,35-49,3476,81.16,92.49,4064,1801,1530,522,211,61,839,1183,555,7,3,398,374,226,174,244,4756,1219,690,2,178,55,17,0
198,1995,50-64,2798,77.49,84.79,3070,1315,1270,336,149,13,779,658,452,11,2,337,407,168,81,162,4552,849,562,0,160,44,9,1
199,1995,65+,577,69.61,74.63,606,264,247,62,33,3,130,132,108,4,0,88,58,47,7,29,794,94,102,0,19,3,2,0
200,1994,<1 Year,3,0,0,4,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,171,40,42,0,7,2,0,0
201,1994,1-5 Years,83,85.51,95.13,93,44,38,7,4,39,0,6,0,1,0,30,7,0,3,7,249,74,69,0,10,2,1,0
202,1994,6-10 Years,110,84.2,98.14,140,57,60,18,5,37,1,31,1,1,0,43,5,1,5,15,186,34,34,0,3,2,1,0
203,1994,11-17 Years,364,79.67,96.09,436,206,168,49,13,59,1,153,8,2,0,120,5,3,26,59,399,125,80,0,16,8,2,0
204,1994,18-34,2250,80.18,95.95,2720,1293,975,317,135,116,354,1005,216,5,0,607,30,83,112,192,2367,759,413,5,120,35,11,0
205,1994,35-49,3365,79.03,91.28,3925,1808,1463,453,201,49,811,1021,505,5,0,780,282,162,122,188,4494,1176,571,4,184,42,17,0
206,1994,50-64,2582,75.69,84.07,2811,1221,1126,340,124,12,652,517,413,6,0,560,347,137,42,125,4212,855,428,6,143,61,17,0
207,1994,65+,489,68.92,76.16,517,228,215,52,22,1,87,109,98,2,0,115,39,32,4,30,654,77,59,0,21,5,6,0
208,1993,<1 Year,5,0,0,6,2,3,0,1,2,0,1,0,0,0,2,0,0,0,1,175,22,34,1,3,0,0,0
209,1993,1-5 Years,125,82.33,96.7,145,62,55,20,8,57,0,23,0,2,0,28,10,1,2,22,292,83,62,0,8,5,0,0
210,1993,6-10 Years,116,79.11,96.49,135,59,53,18,5,46,0,36,0,1,0,32,1,0,2,17,172,40,45,0,5,4,0,0
211,1993,11-17 Years,318,77.49,97.41,376,169,140,49,18,60,1,156,8,1,0,100,10,0,3,37,365,113,81,0,14,8,1,0
212,1993,18-34,2322,78.22,94.94,2815,1308,1102,300,105,78,457,1246,261,6,0,468,41,22,37,199,2563,702,409,5,96,22,9,0
213,1993,35-49,3211,79.35,91.61,3759,1698,1439,473,149,29,856,1153,624,5,0,445,380,36,38,193,4318,1049,536,7,152,30,11,0
214,1993,50-64,2452,74.06,83.05,2674,1156,1074,319,125,4,636,632,500,9,1,310,392,38,13,139,4105,753,396,5,141,35,6,0
215,1993,65+,427,67.17,73.08,450,206,194,35,15,3,81,104,94,2,1,68,48,19,3,27,629,59,38,2,15,5,0,0
216,1992,<1 Year,4,0,0,4,1,3,0,0,0,0,0,0,0,0,1,1,0,0,2,155,32,38,1,4,2,1,0
217,1992,1-5 Years,99,82.73,92.83,121,55,48,14,4,40,0,20,0,1,0,31,16,0,2,11,229,64,76,2,13,6,0,0
218,1992,6-10 Years,105,87.48,99.05,122,49,52,13,8,30,0,32,3,1,0,30,8,1,1,16,158,33,21,0,6,3,0,0
219,1992,11-17 Years,271,75.9,93.98,344,165,121,39,19,77,0,139,4,1,0,62,7,0,3,51,345,93,75,0,16,5,1,0
220,1992,18-34,2128,79.86,94.49,2722,1273,1036,304,109,64,422,1212,297,3,0,428,53,12,29,202,2414,693,364,3,106,22,14,0
221,1992,35-49,3013,79.13,90.69,3630,1704,1328,426,172,22,805,1151,674,3,0,395,346,16,29,189,3975,1012,480,2,186,32,12,0
222,1992,50-64,2113,76.39,83.86,2375,1073,910,266,126,13,506,568,477,10,0,248,395,23,15,120,3636,599,353,3,137,35,10,0
223,1992,65+,395,68.63,75.22,420,185,176,40,19,1,46,110,109,4,0,62,40,16,3,29,551,44,50,2,15,5,0,0
224,1991,<1 Year,10,0,0,10,5,4,0,1,7,0,1,0,0,0,1,0,0,0,1,205,31,40,0,4,1,3,1
225,1991,1-5 Years,97,88.62,95.88,120,58,50,8,4,35,0,25,1,1,0,35,12,0,2,9,263,62,50,0,5,3,1,0
226,1991,6-10 Years,121,85.68,96.55,163,88,56,14,5,48,0,53,2,0,0,28,4,2,4,22,173,46,32,0,6,4,1,0
227,1991,11-17 Years,260,85.05,98.03,348,154,147,32,15,61,1,137,3,2,0,77,12,2,3,50,367,79,64,0,8,6,1,0
228,1991,18-34,2209,82.14,94.15,2867,1300,1093,340,134,58,489,1267,266,1,5,464,46,12,29,230,2492,725,354,3,104,23,12,0
229,1991,35-49,2952,79.65,90.31,3589,1594,1385,434,175,26,865,1139,578,3,2,401,321,24,25,205,4023,915,441,11,139,24,11,0
230,1991,50-64,1971,75.94,84.26,2243,1013,896,250,84,3,493,590,428,6,2,221,356,27,6,111,3439,564,307,8,109,35,4,0
231,1991,65+,318,69.37,73.39,338,154,129,39,16,0,46,105,79,1,0,47,32,6,1,21,471,40,23,0,16,5,2,0
232,1990,<1 Year,5,0,0,8,4,2,2,0,1,0,0,0,0,0,3,2,1,0,1,185,25,26,3,1,1,0,0
233,1990,1-5 Years,91,75.61,86.77,116,48,45,21,2,27,0,19,3,2,0,36,6,1,1,21,234,79,38,3,9,1,0,0
234,1990,6-10 Years,112,91.91,97.32,146,61,59,20,6,40,0,39,0,0,0,35,5,1,4,22,169,39,22,2,5,1,0,1
235,1990,11-17 Years,272,76.82,97.03,372,181,138,40,13,73,1,141,10,2,1,80,9,4,0,51,373,84,78,3,8,4,1,1
236,1990,18-34,2178,79.64,94.31,2842,1290,1120,315,113,84,525,1260,177,4,6,383,49,77,15,262,2623,644,312,7,78,19,8,0
237,1990,35-49,2859,77.41,88.66,3461,1544,1335,414,163,20,777,1144,437,4,8,332,367,152,16,204,3795,935,413,8,132,25,8,0
238,1990,50-64,1947,73.91,82.92,2175,917,898,249,109,8,417,596,330,8,4,226,339,115,8,124,3179,538,253,17,117,28,5,0
239,1990,65+,274,65.92,73.97,296,127,124,32,13,0,28,96,55,6,0,42,33,18,1,17,403,24,22,0,9,3,0,0
240,1989,<1 Year,5,0,0,6,3,3,0,0,1,0,0,0,0,0,4,0,0,0,1,156,21,18,0,6,0,0,1
241,1989,1-5 Years,95,90.43,96.76,118,71,33,11,3,47,0,10,0,1,0,34,8,3,0,15,210,62,50,2,16,1,1,0
242,1989,6-10 Years,104,73.84,95.07,146,72,49,23,2,36,1,45,2,2,0,29,4,1,0,26,155,37,26,0,6,3,1,0
243,1989,11-17 Years,266,79.05,94.69,366,163,139,49,15,51,0,160,2,1,1,74,8,6,3,60,290,100,71,0,15,4,1,0
244,1989,18-34,2059,78.17,92.59,2697,1198,1056,344,99,79,508,1207,211,3,2,344,46,32,21,244,2463,595,278,3,95,23,11,0
245,1989,35-49,2630,75.91,89.32,3200,1516,1178,349,156,23,748,1073,423,3,4,321,308,88,15,194,3418,793,335,4,99,48,4,0
246,1989,50-64,1688,70.89,80.24,1918,860,727,234,97,6,366,550,331,7,1,190,293,52,3,119,2597,503,216,8,81,19,2,0
247,1989,65+,191,61.89,69.49,205,85,78,31,11,1,21,59,45,3,0,30,21,6,0,19,250,25,8,0,7,2,0,0
248,1988,<1 Year,7,0,0,8,3,4,1,0,1,0,0,0,0,0,3,1,0,0,3,98,19,9,0,3,0,1,0
249,1988,1-5 Years,81,71.58,87.27,119,51,50,13,5,45,0,16,0,1,0,31,7,0,2,17,200,48,50,2,12,0,0,0
250,1988,6-10 Years,83,74.66,95.04,123,58,52,10,3,29,0,44,1,0,0,15,3,0,1,30,155,33,23,1,1,1,1,0
251,1988,11-17 Years,271,73.76,95.45,407,182,163,44,18,76,0,177,8,2,1,65,11,2,3,62,356,103,62,3,11,4,0,0
252,1988,18-34,2076,76.9,91.82,2794,1286,1060,322,125,88,593,1220,199,2,1,375,51,20,10,235,2419,603,303,3,83,16,7,0
253,1988,35-49,2579,74.02,86.73,3289,1486,1274,383,146,32,780,1104,465,5,3,322,337,32,8,201,3196,838,291,5,109,43,1,0
254,1988,50-64,1654,69.82,78.9,1926,876,730,232,88,2,333,561,374,5,1,190,322,24,2,112,2487,490,179,6,60,20,3,0
255,1988,65+,195,57.14,65.87,212,98,80,17,17,0,17,66,51,4,0,28,33,1,1,11,219,28,11,1,4,2,0,0
