,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
40,2014,<1 Year,3,0,0,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,150,46,68,0,6,4,0,6
41,2014,1-5 Years,146,91.69,97.22,151,63,55,23,10,72,0,11,0,2,0,49,6,0,2,9,251,89,112,0,30,5,1,15
42,2014,6-10 Years,114,93.77,98.21,128,52,42,26,8,43,0,24,1,2,0,33,6,0,6,13,148,50,62,0,17,2,3,2
43,2014,11-17 Years,370,92.53,99.72,434,216,148,50,20,99,1,151,1,3,0,114,7,2,35,21,392,137,153,0,24,8,3,11
44,2014,18-34,1660,92.2,98.6,2068,966,749,270,83,95,120,845,236,6,0,320,53,30,237,126,1683,659,612,0,148,22,13,12
45,2014,35-49,3558,91.52,96.48,4363,1963,1581,645,174,53,820,1162,878,8,0,378,437,63,435,129,3264,1666,1002,1,374,55,28,22
46,2014,50-64,5593,89.95,93.42,6645,2993,2471,844,337,31,2126,1103,1236,20,0,683,753,87,403,203,7813,2448,1669,0,659,106,45,50
47,2014,65+,3017,82.96,86.46,3316,1403,1318,426,169,18,1219,417,753,25,0,342,237,43,113,149,3612,851,594,0,284,30,7,16
48,2013,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,38,71,0,10,1,2,3
49,2013,1-5 Years,183,92.27,95.53,195,89,73,25,8,81,0,17,0,3,0,64,13,1,3,13,292,78,131,0,26,5,6,7
50,2013,6-10 Years,131,92.96,96.86,147,75,52,16,4,59,0,29,1,2,0,35,10,0,4,7,149,55,75,0,12,1,0,3
51,2013,11-17 Years,362,88.37,99.12,409,210,138,47,14,104,1,140,2,0,0,100,14,3,21,24,368,155,159,0,19,7,3,7
