,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
0,2012,<1 Year,2,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,159,45,51,0,17,0,1,4
1,2012,1-5 Years,174,79.3,95.01,187,96,60,19,12,79,0,17,1,4,0,59,12,2,0,13,285,93,108,0,21,3,1,8
2,2012,11-17 Years,384,61.34,94.87,139,66,49,19,5,43,0,27,1,1,0,45,6,0,6,10,143,49,66,0,18,1,1,3
3,2012,6-10 Years,124,77.09,97.46,430,210,149,56,15,105,1,129,8,0,0,119,8,0,20,40,374,112,174,1,19,9,0,7
4,2012,18-34,1721,63.07,87.54,2151,1000,781,264,106,102,90,939,283,6,0,325,51,21,205,129,1642,682,577,1,159,20,8,16
5,2012,35-49,3396,66.56,79.1,4180,1904,1533,531,212,54,734,1126,835,9,0,408,441,59,391,123,3327,1588,1017,3,353,55,24,23
6,2012,50-64,5462,55.6,58.15,6445,2818,2398,885,344,36,2090,1038,1352,21,0,556,703,82,339,228,7577,2346,1545,1,547,81,26,33
7,2012,65+,2713,34.38,32.6,2953,1218,1180,390,165,20,1078,393,718,15,0,252,226,49,75,127,3216,671,440,0,266,24,8,10
8,2011,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,35,47,0,13,7,2,6
9,2011,1-5 Years,168,84.4,97.45,173,108,41,21,3,77,0,13,2,1,0,60,11,0,1,8,274,94,111,4,19,1,3,8
