,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
10,2011,6-10 Years,113,80.09,97.9,130,71,42,13,4,35,2,34,0,1,0,33,6,0,9,10,153,48,57,0,13,1,1,0
11,2011,11-17 Years,412,59.62,95.63,454,230,155,60,9,110,0,145,6,5,0,143,10,0,12,23,344,148,200,0,25,4,2,7
12,2011,18-34,1617,59.78,87.26,2012,954,745,232,81,111,96,860,263,7,0,277,43,29,211,115,1642,682,537,5,144,21,8,15
13,2011,35-49,3616,66.42,80.36,4417,2021,1641,573,182,63,751,1215,923,15,0,400,442,59,404,145,3503,1704,991,1,316,45,20,29
14,2011,50-64,5763,57.19,61.63,6679,2945,2466,897,371,47,2164,1020,1353,24,0,550,788,104,337,292,7829,2477,1537,2,564,89,27,50
15,2011,65+,2740,36.35,36.22,2951,1277,1137,368,169,17,1063,343,743,17,0,267,217,60,77,147,3052,672,495,1,249,27,5,16
16,2010,<1 Year,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,167,40,62,0,13,1,1,6
17,2010,1-5 Years,150,78.2,94.33,158,66,64,23,5,54,0,14,0,4,0,66,8,0,2,10,257,92,118,0,22,1,4,6
18,2010,6-10 Years,133,76.79,96.31,144,72,48,13,11,40,0,45,1,2,0,37,5,0,5,9,158,48,75,0,15,1,1,2
19,2010,11-17 Years,396,58.81,91.46,445,226,151,55,13,98,2,155,8,4,0,118,10,4,20,26,349,162,180,0,31,5,2,6
20,2010,18-34,1731,64.59,90.64,2167,1011,758,282,116,98,123,959,257,4,0,331,41,26,228,100,1779,692,583,2,123,19,9,19
21,2010,35-49,3672,65.96,79.98,4485,2039,1610,628,208,63,761,1241,999,9,0,345,420,70,429,148,3644,1889,914,1,334,48,33,32
22,2010,50-64,5817,56.48,62.4,6686,2976,2425,946,339,38,2157,1059,1334,20,0,540,824,121,338,255,7817,2386,1500,1,537,99,24,60
23,2010,65+,2626,39.02,39.98,2814,1246,1068,367,133,13,936,374,748,13,0,238,208,74,75,135,2945,644,427,0,234,27,8,11
24,2009,<1 Year,4,0,0,4,2,1,0,1,1,0,0,0,0,0,3,0,0,0,0,161,61,78,0,14,1,2,12
25,2009,1-5 Years,172,72.93,97.54,179,95,56,20,8,46,0,24,2,1,0,79,14,1,0,12,301,113,135,1,29,2,4,7
26,2009,6-10 Years,142,66.15,95.51,156,85,53,14,4,62,0,27,3,5,0,35,6,2,5,11,186,53,60,0,10,2,0,4
27,2009,11-17 Years,453,56.57,90.59,528,275,174,62,17,118,1,143,16,2,0,154,10,7,33,44,422,136,176,0,26,5,7,9
28,2009,18-34,1773,61.05,89.71,2205,1031,796,282,96,126,141,949,311,2,0,276,34,33,226,107,1761,735,550,0,134,19,11,11
29,2009,35-49,3737,66.28,81.71,4544,2128,1601,597,218,75,774,1263,986,11,0,392,431,93,371,148,3878,1692,990,0,303,56,25,23
30,2009,50-64,5704,55.53,62.26,6552,2862,2493,866,331,29,2067,1026,1330,21,0,570,776,142,329,262,7809,2305,1437,1,527,89,24,46
31,2009,65+,2471,38.89,38.85,2661,1126,1062,350,123,22,880,287,733,20,0,257,219,57,65,121,2766,603,390,0,223,21,7,8
32,2008,<1 Year,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,174,60,77,0,12,8,5,7
33,2008,1-5 Years,129,75.77,92.77,137,77,39,18,3,46,0,13,0,3,0,58,9,0,2,6,291,119,123,0,19,6,6,1
34,2008,6-10 Years,130,74.18,97.49,149,73,46,22,8,58,0,28,0,1,0,40,4,0,7,11,169,40,75,0,16,0,0,4
35,2008,11-17 Years,435,58.42,89.1,486,249,164,55,18,89,0,163,5,1,0,142,8,2,26,50,392,141,181,0,22,6,3,6
36,2008,18-34,1858,63.24,90.29,2254,1005,849,300,100,119,136,905,336,1,0,357,42,44,200,114,1756,740,573,1,149,23,11,10
37,2008,35-49,3725,66.14,80.77,4460,1999,1657,623,181,58,764,1219,933,10,0,423,467,89,346,151,3937,1644,983,2,320,53,20,17
38,2008,50-64,5711,55.69,61.97,6517,2843,2453,910,311,37,2074,977,1324,21,0,626,747,143,295,273,7774,2168,1442,0,542,102,36,29
39,2008,65+,2347,38.28,39.57,2517,1089,950,331,147,7,840,309,658,15,0,272,152,60,72,132,2519,562,358,0,187,26,9,11
40,2007,<1 Year,1,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,180,55,77,0,20,2,4,5
41,2007,1-5 Years,154,74.3,93.88,162,88,49,20,5,54,0,11,0,2,0,76,5,1,0,13,291,95,118,0,29,6,2,6
42,2007,6-10 Years,131,62.89,94.72,141,75,36,23,7,34,0,32,0,0,0,52,5,0,6,12,146,50,63,0,12,0,1,1
43,2007,11-17 Years,425,52.38,92.23,491,248,172,52,19,89,0,168,8,2,0,140,7,6,31,40,406,161,186,0,31,7,1,1
44,2007,18-34,1847,59.13,88.16,2265,1074,809,292,90,107,137,892,356,4,1,350,59,39,210,110,1778,803,588,0,133,23,14,12
45,2007,35-49,3887,65.42,79.89,4677,2141,1704,588,244,68,787,1219,989,8,1,495,469,101,371,169,4373,1705,964,0,321,53,17,20
46,2007,50-64,5639,53.86,60.7,6519,2925,2451,805,338,26,2006,986,1310,19,3,735,730,141,305,258,7987,2078,1403,0,500,76,31,30
47,2007,65+,2243,37.43,39.03,2377,1054,895,303,125,13,778,281,631,15,1,240,185,66,46,121,2413,515,352,0,189,13,7,12
48,2006,<1 Year,7,0,0,7,3,2,2,0,4,0,0,0,0,0,3,0,0,0,0,168,52,71,0,17,1,0,6
49,2006,1-5 Years,155,79.95,97.23,163,80,48,27,8,47,0,18,0,3,0,66,8,1,3,17,290,89,103,0,17,6,0,13
50,2006,6-10 Years,128,62.52,91.88,138,79,38,19,2,29,0,39,1,4,0,48,6,1,4,6,144,53,62,0,9,2,0,4
51,2006,11-17 Years,509,50.57,91.39,584,272,219,69,24,124,0,190,13,3,0,160,17,3,34,40,452,188,183,0,37,8,3,4
52,2006,18-34,2031,60.92,89.2,2521,1185,897,322,117,115,156,983,345,7,0,396,52,45,276,146,1974,821,624,0,148,29,11,18
53,2006,35-49,3901,66.45,80.67,4771,2182,1691,654,244,61,788,1244,981,11,0,535,431,96,450,174,4566,1729,1026,0,308,66,20,30
54,2006,50-64,5713,52.99,60.05,6523,2817,2513,886,307,35,1882,1027,1342,19,0,723,758,162,322,253,8046,2184,1307,1,467,88,32,32
55,2006,65+,2238,36.2,38.52,2388,1047,946,275,120,7,716,321,626,19,0,280,178,71,61,109,2421,471,322,0,178,22,10,8
56,2005,<1 Year,3,0,0,4,2,2,0,0,1,0,0,0,0,0,2,0,0,0,1,167,57,56,0,11,0,0,4
57,2005,1-5 Years,148,74.5,93.8,155,76,56,17,6,56,0,22,1,2,0,48,12,2,3,9,273,82,112,0,13,5,3,10
58,2005,6-10 Years,143,72.81,96.91,155,80,51,17,7,41,0,38,3,1,0,53,6,1,2,10,193,41,57,0,13,0,0,3
59,2005,11-17 Years,498,48.57,91.99,578,287,199,74,18,128,2,197,4,2,0,146,12,6,34,47,475,181,163,0,25,6,5,9
60,2005,18-34,2058,56.88,86.86,2492,1174,908,320,90,79,165,995,345,5,1,409,49,70,223,151,2015,883,552,1,160,22,11,15
61,2005,35-49,3889,62.16,78.86,4751,2163,1737,618,233,66,816,1186,860,10,0,620,455,125,437,176,4714,1695,980,0,295,54,33,30
62,2005,50-64,5391,53.01,60.68,6167,2704,2373,785,305,22,1872,936,1108,17,0,702,776,177,322,235,7768,1887,1249,0,478,78,40,35
63,2005,65+,2067,35.7,37.44,2183,921,861,290,111,9,670,268,555,15,0,287,141,73,40,125,2215,423,330,0,153,19,11,9
64,2004,<1 Year,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,135,58,55,0,14,2,2,7
65,2004,1-5 Years,148,70.58,93.42,152,73,54,19,6,59,0,13,0,5,0,49,6,1,2,17,281,83,103,0,17,3,3,11
66,2004,6-10 Years,122,60.98,96.24,130,61,50,16,3,36,0,43,1,0,0,26,6,1,4,13,147,47,58,0,13,1,0,4
67,2004,11-17 Years,422,50.16,88.47,479,236,165,61,17,91,0,172,4,0,0,107,20,4,32,49,409,160,168,0,23,8,0,4
68,2004,18-34,2166,59.57,87.32,2671,1271,929,350,121,109,219,1070,339,3,0,401,36,77,276,141,2092,866,597,0,150,32,22,11
69,2004,35-49,3934,62.98,78.86,4834,2274,1763,610,187,69,881,1228,850,10,0,509,428,171,472,216,4984,1533,1012,1,314,52,30,20
70,2004,50-64,5254,52.03,59.53,5882,2590,2237,774,281,31,1782,954,1031,16,0,670,675,222,275,226,7306,1799,1157,0,427,81,29,22
71,2004,65+,1762,34.51,36.41,1857,806,732,234,85,12,569,239,444,14,0,226,126,88,47,92,1890,378,264,0,123,24,5,5
72,2003,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,27,61,0,8,3,2,4
73,2003,1-5 Years,145,75.74,92.54,155,64,64,21,6,70,0,14,0,1,0,43,8,0,6,13,276,69,90,0,14,4,3,5
74,2003,6-10 Years,138,59.5,96.06,149,72,50,21,6,52,0,41,0,1,0,27,4,0,8,16,169,52,53,0,9,2,3,2
75,2003,11-17 Years,432,53.18,86.11,506,242,182,62,20,119,1,171,6,2,0,112,14,3,41,37,427,171,143,0,29,7,5,2
76,2003,18-34,2055,57.04,86.52,2514,1221,870,306,117,108,195,941,266,5,0,420,48,89,302,140,2000,814,542,2,130,24,14,6
77,2003,35-49,3860,60.67,76.62,4644,2174,1717,551,202,59,811,1137,702,9,0,573,469,186,496,202,4931,1475,973,0,247,56,35,17
78,2003,50-64,4867,50.57,58.73,5483,2419,2109,708,247,24,1578,890,894,24,0,631,670,241,309,222,6730,1703,1058,1,387,73,35,13
79,2003,65+,1601,32.18,35.73,1687,756,643,218,70,12,477,246,343,9,0,240,135,90,49,86,1729,322,225,0,104,22,6,5
80,2002,<1 Year,5,0,0,5,2,2,0,1,1,0,0,0,0,0,0,2,0,0,2,157,31,54,0,7,3,0,3
81,2002,1-5 Years,137,75.32,94.58,141,72,54,15,0,52,1,18,1,2,0,44,10,0,2,11,256,94,102,0,19,2,2,2
82,2002,6-10 Years,146,68.1,91.68,157,77,56,15,9,49,0,42,0,4,0,35,4,1,8,14,163,47,60,1,5,2,0,1
83,2002,11-17 Years,385,56.54,90.21,465,233,161,51,20,104,1,134,6,1,0,87,5,5,74,48,447,131,127,2,21,7,6,5
84,2002,18-34,2100,57.79,86.06,2573,1175,972,310,116,95,205,948,251,4,0,367,42,98,426,137,2030,814,568,1,139,14,13,6
85,2002,35-49,3885,59.14,75.34,4666,2133,1717,598,218,48,815,1141,627,6,0,524,428,226,673,178,5189,1473,871,4,242,50,30,9
86,2002,50-64,4697,50.35,57.88,5240,2289,2041,668,242,23,1557,845,776,15,0,543,622,251,384,224,6605,1503,987,1,333,69,33,6
87,2002,65+,1459,33.62,35.78,1533,649,607,190,87,6,435,250,304,13,0,193,114,101,67,50,1523,277,235,0,106,18,7,2
88,2001,<1 Year,4,0,0,4,2,1,0,1,3,0,0,0,0,0,1,0,0,0,0,143,49,62,1,12,0,0,2
89,2001,1-5 Years,146,68.63,93.01,152,61,65,17,9,58,0,27,0,1,0,39,11,0,4,12,279,89,99,1,20,2,2,0
90,2001,6-10 Years,125,53.17,92.45,141,75,40,21,5,36,0,32,1,1,0,34,5,0,14,18,144,46,45,0,6,3,0,1
91,2001,11-17 Years,386,55.93,88.65,429,193,171,47,18,93,0,145,9,4,0,74,15,6,39,44,417,121,160,0,20,6,1,1
92,2001,18-34,2201,56.79,84.63,2684,1197,1028,329,130,86,214,934,260,3,0,406,55,105,471,150,2165,833,524,0,146,18,20,1
93,2001,35-49,3886,58.53,73.82,4669,2151,1723,585,210,53,797,1065,626,11,1,561,446,197,742,170,5161,1431,844,1,254,52,35,1
94,2001,50-64,4445,47.71,56.07,4912,2178,1919,596,219,16,1402,755,744,22,0,577,571,238,370,217,6435,1446,890,1,281,70,28,0
95,2001,65+,1245,31.56,31.9,1288,544,519,150,75,4,342,176,273,8,0,193,117,68,39,68,1365,253,158,0,81,12,5,0
96,2000,<1 Year,4,0,0,4,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,156,38,58,0,12,1,3,0
97,2000,1-5 Years,101,75.38,94.81,107,50,36,15,6,37,0,14,0,1,0,33,7,0,3,12,244,74,66,0,13,1,5,0
98,2000,6-10 Years,110,55.78,91.14,126,60,47,13,6,28,0,30,1,1,0,35,5,0,12,14,166,53,60,0,4,1,0,0
99,2000,11-17 Years,344,47.3,85,392,162,162,51,17,85,2,129,5,0,0,76,10,1,44,40,390,120,116,0,23,2,1,0
100,2000,18-34,2161,55.85,86.18,2603,1254,925,318,106,83,216,959,229,8,0,415,36,89,414,154,2140,749,486,0,145,22,15,2
101,2000,35-49,3862,57.75,73.71,4652,2111,1741,577,223,43,772,1134,583,7,1,573,415,197,722,205,5302,1395,836,0,237,58,31,1
102,2000,50-64,4095,46.24,53.63,4535,1937,1817,567,214,26,1231,747,636,16,1,563,537,207,357,214,5935,1304,813,0,269,74,31,2
103,2000,65+,1159,29.64,32.47,1212,555,484,120,53,10,313,172,232,5,0,205,101,70,35,69,1363,226,162,0,53,12,3,1
104,1999,<1 Year,8,0,0,9,6,2,0,1,2,0,1,1,0,0,2,1,0,0,2,176,48,40,0,6,4,0,1
105,1999,1-5 Years,131,71.24,92.41,136,68,41,24,3,48,0,16,0,4,0,36,15,0,5,12,250,67,71,0,17,2,0,2
106,1999,6-10 Years,126,68.1,96.25,144,69,51,20,4,43,0,33,2,1,0,32,7,3,12,11,184,45,44,0,3,3,0,0
107,1999,11-17 Years,394,51.23,87.68,461,227,174,51,9,92,2,149,4,0,0,94,17,4,50,49,432,151,94,0,12,9,2,0
108,1999,18-34,2177,55.38,84.3,2570,1148,952,349,121,103,220,970,255,3,1,404,31,91,311,181,2054,838,489,0,123,24,10,0
109,1999,35-49,3613,56.75,73.72,4288,1863,1649,558,217,45,800,1108,541,9,3,483,388,212,491,208,5211,1261,723,1,232,57,31,0
110,1999,50-64,3871,46.67,54.23,4208,1771,1651,557,228,28,1200,710,638,13,4,465,513,216,224,197,5531,1186,721,0,260,73,23,0
111,1999,65+,906,30.05,30.9,951,391,405,104,51,5,236,162,181,4,1,139,75,74,30,44,1145,188,127,0,39,12,8,0
112,1998,<1 Year,3,0,0,3,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,197,35,48,0,7,1,2,1
113,1998,1-5 Years,106,78.42,95.91,115,57,40,15,2,34,0,20,0,2,0,32,11,2,5,9,218,90,65,0,13,3,2,0
114,1998,6-10 Years,136,63.85,94.37,153,79,40,25,9,43,0,47,0,0,1,27,10,2,8,15,201,50,52,0,5,3,2,0
115,1998,11-17 Years,332,48.68,88.65,393,194,132,50,16,80,0,125,5,0,0,92,2,5,37,47,419,129,83,0,16,8,6,0
116,1998,18-34,2150,54.94,84.33,2604,1188,967,311,138,89,270,1028,258,2,2,423,49,70,221,192,2208,779,486,0,95,16,19,1
117,1998,35-49,3674,55.25,72.6,4342,1940,1684,546,170,55,849,1133,585,4,4,599,398,181,303,231,5025,1286,747,2,237,55,31,0
118,1998,50-64,3598,44.79,51.96,3934,1700,1525,515,194,19,1104,720,595,7,4,516,473,178,144,174,5285,1104,698,2,257,55,13,0
119,1998,65+,876,30.11,31.73,911,386,380,106,39,3,205,160,180,6,3,139,84,55,17,59,1119,175,117,0,44,9,5,0
120,1997,<1 Year,3,0,0,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,186,24,51,0,10,2,5,0
121,1997,1-5 Years,125,71.28,88.78,132,64,43,19,6,56,0,17,0,4,0,37,4,0,2,12,290,71,69,0,15,2,3,0
122,1997,6-10 Years,119,61.19,93.8,137,73,45,17,2,46,0,30,0,0,0,23,4,1,10,23,165,55,45,0,6,2,2,0
123,1997,11-17 Years,350,47.03,87.21,405,188,152,46,19,81,0,153,4,1,0,86,4,3,25,48,410,135,77,0,13,6,6,0
124,1997,18-34,2055,54.58,82.5,2487,1104,961,316,106,91,256,995,245,4,1,408,37,72,200,178,2239,734,415,0,130,17,15,0
125,1997,35-49,3547,53.26,70.26,4181,1830,1628,543,180,38,839,1137,620,6,0,480,374,180,287,220,4889,1237,669,0,228,41,22,0
126,1997,50-64,3336,43.81,51.13,3647,1594,1454,425,174,19,985,645,608,8,1,442,466,183,119,171,4910,1075,573,2,178,48,25,0
127,1997,65+,688,24.93,27.15,718,283,303,93,39,2,158,136,153,4,0,101,74,35,11,44,965,133,77,0,37,4,3,0
128,1996,<1 Year,6,0,0,7,5,1,0,1,2,0,0,0,0,0,4,1,0,0,0,152,49,37,0,7,1,0,0
129,1996,1-5 Years,126,63.74,89.93,139,63,55,17,4,46,0,15,1,1,0,32,15,2,4,23,272,70,60,0,10,1,3,0
130,1996,6-10 Years,129,53.96,91.65,146,71,55,13,7,43,0,40,1,1,1,28,7,0,5,20,172,45,45,0,7,4,0,0
131,1996,11-17 Years,355,49.42,89.42,417,207,146,43,21,83,2,146,5,1,0,77,8,4,33,58,395,139,102,0,18,7,1,0
132,1996,18-34,2127,53.68,84.34,2574,1205,964,296,109,116,320,1037,264,9,6,327,38,78,171,208,2286,726,414,0,83,22,15,0
133,1996,35-49,3547,51.58,69.46,4162,1797,1650,502,213,49,905,1117,580,5,20,461,395,204,198,228,4909,1249,591,0,203,61,22,1
134,1996,50-64,3011,42.75,50.86,3285,1430,1326,376,153,23,850,696,490,10,11,363,395,171,78,198,4660,962,559,1,185,54,20,1
135,1996,65+,658,31.35,32.17,681,299,277,75,30,3,155,133,135,2,3,79,67,38,8,58,903,124,79,0,32,5,1,0
136,1995,<1 Year,7,0,0,7,2,4,0,1,3,0,0,0,0,0,4,0,0,0,0,162,14,39,0,11,0,1,0
137,1995,1-5 Years,104,59.05,89.57,112,55,44,11,2,34,0,14,0,2,0,33,3,2,5,19,245,66,67,0,14,3,0,0
138,1995,6-10 Years,124,60.8,90.48,147,66,55,20,6,38,1,39,1,3,0,23,7,2,9,24,184,49,47,0,6,6,0,0
139,1995,11-17 Years,390,47.59,90.05,454,212,157,69,16,82,3,174,2,3,1,80,12,6,25,66,427,130,106,0,19,13,2,0
140,1995,18-34,2184,50.59,82.43,2624,1221,985,300,118,116,347,1095,243,6,1,326,53,93,140,204,2326,753,468,0,91,23,15,1
141,1995,35-49,3476,51.04,68.81,4064,1801,1530,522,211,61,839,1183,555,7,3,398,374,226,174,244,4756,1219,690,2,178,55,17,0
142,1995,50-64,2798,41.17,48.21,3070,1315,1270,336,149,13,779,658,452,11,2,337,407,168,81,162,4552,849,562,0,160,44,9,1
143,1995,65+,577,29.03,28.2,606,264,247,62,33,3,130,132,108,4,0,88,58,47,7,29,794,94,102,0,19,3,2,0
144,1994,<1 Year,3,0,0,4,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,171,40,42,0,7,2,0,0
145,1994,1-5 Years,83,69.43,93.62,93,44,38,7,4,39,0,6,0,1,0,30,7,0,3,7,249,74,69,0,10,2,1,0
146,1994,6-10 Years,110,56.49,91.38,140,57,60,18,5,37,1,31,1,1,0,43,5,1,5,15,186,34,34,0,3,2,1,0
147,1994,11-17 Years,364,43.5,85.67,436,206,168,49,13,59,1,153,8,2,0,120,5,3,26,59,399,125,80,0,16,8,2,0
148,1994,18-34,2250,50.4,82.07,2720,1293,975,317,135,116,354,1005,216,5,0,607,30,83,112,192,2367,759,413,5,120,35,11,0
149,1994,35-49,3365,46.8,65.79,3925,1808,1463,453,201,49,811,1021,505,5,0,780,282,162,122,188,4494,1176,571,4,184,42,17,0
150,1994,50-64,2582,38.31,45.59,2811,1221,1126,340,124,12,652,517,413,6,0,560,347,137,42,125,4212,855,428,6,143,61,17,0
151,1994,65+,489,23.73,25.92,517,228,215,52,22,1,87,109,98,2,0,115,39,32,4,30,654,77,59,0,21,5,6,0
152,1993,<1 Year,5,0,0,6,2,3,0,1,2,0,1,0,0,0,2,0,0,0,1,175,22,34,1,3,0,0,0
153,1993,1-5 Years,125,70.28,89.73,145,62,55,20,8,57,0,23,0,2,0,28,10,1,2,22,292,83,62,0,8,5,0,0
154,1993,6-10 Years,116,52.11,91.09,135,59,53,18,5,46,0,36,0,1,0,32,1,0,2,17,172,40,45,0,5,4,0,0
155,1993,11-17 Years,318,47.38,86.13,376,169,140,49,18,60,1,156,8,1,0,100,10,0,3,37,365,113,81,0,14,8,1,0
156,1993,18-34,2322,49.73,80.31,2815,1308,1102,300,105,78,457,1246,261,6,0,468,41,22,37,199,2563,702,409,5,96,22,9,0
157,1993,35-49,3211,48.79,66.33,3759,1698,1439,473,149,29,856,1153,624,5,0,445,380,36,38,193,4318,1049,536,7,152,30,11,0
158,1993,50-64,2452,37.74,45.67,2674,1156,1074,319,125,4,636,632,500,9,1,310,392,38,13,139,4105,753,396,5,141,35,6,0
159,1993,65+,427,20.36,22.29,450,206,194,35,15,3,81,104,94,2,1,68,48,19,3,27,629,59,38,2,15,5,0,0
160,1992,<1 Year,4,0,0,4,1,3,0,0,0,0,0,0,0,0,1,1,0,0,2,155,32,38,1,4,2,1,0
161,1992,1-5 Years,99,62.23,87.8,121,55,48,14,4,40,0,20,0,1,0,31,16,0,2,11,229,64,76,2,13,6,0,0
162,1992,6-10 Years,105,54.43,94.46,122,49,52,13,8,30,0,32,3,1,0,30,8,1,1,16,158,33,21,0,6,3,0,0
163,1992,11-17 Years,271,45.38,88.7,344,165,121,39,19,77,0,139,4,1,0,62,7,0,3,51,345,93,75,0,16,5,1,0
164,1992,18-34,2128,47.62,78.65,2722,1273,1036,304,109,64,422,1212,297,3,0,428,53,12,29,202,2414,693,364,3,106,22,14,0
165,1992,35-49,3013,46.71,63.87,3630,1704,1328,426,172,22,805,1151,674,3,0,395,346,16,29,189,3975,1012,480,2,186,32,12,0
166,1992,50-64,2113,36.17,43.23,2375,1073,910,266,126,13,506,568,477,10,0,248,395,23,15,120,3636,599,353,3,137,35,10,0
167,1992,65+,395,27.04,26.26,420,185,176,40,19,1,46,110,109,4,0,62,40,16,3,29,551,44,50,2,15,5,0,0
168,1991,<1 Year,10,0,0,10,5,4,0,1,7,0,1,0,0,0,1,0,0,0,1,205,31,40,0,4,1,3,1
169,1991,1-5 Years,97,66.74,94.72,120,58,50,8,4,35,0,25,1,1,0,35,12,0,2,9,263,62,50,0,5,3,1,0
170,1991,6-10 Years,121,59.57,93.66,163,88,56,14,5,48,0,53,2,0,0,28,4,2,4,22,173,46,32,0,6,4,1,0
171,1991,11-17 Years,260,52.66,90.61,348,154,147,32,15,61,1,137,3,2,0,77,12,2,3,50,367,79,64,0,8,6,1,0
172,1991,18-34,2209,51.07,80.22,2867,1300,1093,340,134,58,489,1267,266,1,5,464,46,12,29,230,2492,725,354,3,104,23,12,0
173,1991,35-49,2952,45.98,61.35,3589,1594,1385,434,175,26,865,1139,578,3,2,401,321,24,25,205,4023,915,441,11,139,24,11,0
174,1991,50-64,1971,36.28,44.7,2243,1013,896,250,84,3,493,590,428,6,2,221,356,27,6,111,3439,564,307,8,109,35,4,0
175,1991,65+,318,24.64,25.72,338,154,129,39,16,0,46,105,79,1,0,47,32,6,1,21,471,40,23,0,16,5,2,0
176,1990,<1 Year,5,0,0,8,4,2,2,0,1,0,0,0,0,0,3,2,1,0,1,185,25,26,3,1,1,0,0
177,1990,1-5 Years,91,63.58,84.26,116,48,45,21,2,27,0,19,3,2,0,36,6,1,1,21,234,79,38,3,9,1,0,0
178,1990,6-10 Years,112,64.28,89.15,146,61,59,20,6,40,0,39,0,0,0,35,5,1,4,22,169,39,22,2,5,1,0,1
179,1990,11-17 Years,272,50.34,88.88,372,181,138,40,13,73,1,141,10,2,1,80,9,4,0,51,373,84,78,3,8,4,1,1
180,1990,18-34,2178,49.36,79.85,2842,1290,1120,315,113,84,525,1260,177,4,6,383,49,77,15,262,2623,644,312,7,78,19,8,0
181,1990,35-49,2859,46.33,63.64,3461,1544,1335,414,163,20,777,1144,437,4,8,332,367,152,16,204,3795,935,413,8,132,25,8,0
182,1990,50-64,1947,36.82,43.52,2175,917,898,249,109,8,417,596,330,8,4,226,339,115,8,124,3179,538,253,17,117,28,5,0
183,1990,65+,274,26.51,27.74,296,127,124,32,13,0,28,96,55,6,0,42,33,18,1,17,403,24,22,0,9,3,0,0
184,1989,<1 Year,5,0,0,6,3,3,0,0,1,0,0,0,0,0,4,0,0,0,1,156,21,18,0,6,0,0,1
185,1989,1-5 Years,95,70.84,91.75,118,71,33,11,3,47,0,10,0,1,0,34,8,3,0,15,210,62,50,2,16,1,1,0
186,1989,6-10 Years,104,40.49,88.79,146,72,49,23,2,36,1,45,2,2,0,29,4,1,0,26,155,37,26,0,6,3,1,0
187,1989,11-17 Years,266,48.77,86.23,366,163,139,49,15,51,0,160,2,1,1,74,8,6,3,60,290,100,71,0,15,4,1,0
188,1989,18-34,2059,49.99,76.94,2697,1198,1056,344,99,79,508,1207,211,3,2,344,46,32,21,244,2463,595,278,3,95,23,11,0
189,1989,35-49,2630,45.56,62.84,3200,1516,1178,349,156,23,748,1073,423,3,4,321,308,88,15,194,3418,793,335,4,99,48,4,0
