,Transplant Year,Age Group,N,Graft Survival Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
21,2005,35-49,3889,45.58,61.58,4751,2163,1737,618,233,66,816,1186,860,10,0,620,455,125,437,176,4714,1695,980,0,295,54,33,30
22,2005,50-64,5391,33.01,35.55,6167,2704,2373,785,305,22,1872,936,1108,17,0,702,776,177,322,235,7768,1887,1249,0,478,78,40,35
23,2005,65+,2067,13.48,12.94,2183,921,861,290,111,9,670,268,555,15,0,287,141,73,40,125,2215,423,330,0,153,19,11,9
24,2004,<1 Year,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,135,58,55,0,14,2,2,7
25,2004,1-5 Years,148,58.56,89.29,152,73,54,19,6,59,0,13,0,5,0,49,6,1,2,17,281,83,103,0,17,3,3,11
26,2004,6-10 Years,122,44.21,90.11,130,61,50,16,3,36,0,43,1,0,0,26,6,1,4,13,147,47,58,0,13,1,0,4
27,2004,11-17 Years,422,33.68,78.53,479,236,165,61,17,91,0,172,4,0,0,107,20,4,32,49,409,160,168,0,23,8,0,4
28,2004,18-34,2166,42.41,75.55,2671,1271,929,350,121,109,219,1070,339,3,0,401,36,77,276,141,2092,866,597,0,150,32,22,11
29,2004,35-49,3934,46.16,61.43,4834,2274,1763,610,187,69,881,1228,850,10,0,509,428,171,472,216,4984,1533,1012,1,314,52,30,20
30,2004,50-64,5254,31.56,35.13,5882,2590,2237,774,281,31,1782,954,1031,16,0,670,675,222,275,226,7306,1799,1157,0,427,81,29,22
31,2004,65+,1762,16.06,14.45,1857,806,732,234,85,12,569,239,444,14,0,226,126,88,47,92,1890,378,264,0,123,24,5,5
32,2003,1-5 Years,145,53.81,91.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,27,61,0,8,3,2,4
