,Transplant Year,Age Group,Number_of_Transplants,Graft_Survival_Rate_20,Patient_Survival_Rate_20,Blood_O,Blood_A,Blood_B,Blood_AB,Deceased_Donor,Living_Donor,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
46,1997,35-49,3547,25.47,36.05,1830,1628,543,180,5752,1334,38,839,1137,620,6,0,480,374,180,287,220,4889,1237,669,0,228,41,22,0
47,1997,50-64,3336,13.47,14.18,1594,1454,425,174,5857,954,19,985,645,608,8,1,442,466,183,119,171,4910,1075,573,2,178,48,25,0
48,1997,65+,688,3.65,3.12,283,303,93,39,1071,148,2,158,136,153,4,0,101,74,35,11,44,965,133,77,0,37,4,3,0
49,1996,<1 Year,6,0.0,0.0,5,1,0,1,206,40,2,0,0,0,0,0,4,1,0,0,0,152,49,37,0,7,1,0,0
50,1996,1-5 Years,126,33.14,79.82,63,55,17,4,315,101,46,0,15,1,1,0,32,15,2,4,23,272,70,60,0,10,1,3,0
51,1996,6-10 Years,129,20.75,75.64,71,55,13,7,184,89,43,0,40,1,1,1,28,7,0,5,20,172,45,45,0,7,4,0,0
52,1996,11-17 Years,355,24.79,69.15,207,146,43,21,446,216,83,2,146,5,1,0,77,8,4,33,58,395,139,102,0,18,7,1,0
53,1996,18-34,2127,24.19,59.23,1205,964,296,109,2381,1165,116,320,1037,264,9,6,327,38,78,171,208,2286,726,414,0,83,22,15,0
54,1996,35-49,3547,23.3,34.47,1797,1650,502,213,5748,1288,49,905,1117,580,5,20,461,395,204,198,228,4909,1249,591,0,203,61,22,1
55,1996,50-64,3011,13.25,14.4,1430,1326,376,153,5688,754,23,850,696,490,10,11,363,395,171,78,198,4660,962,559,1,185,54,20,1
56,1996,65+,658,0.0,2.03,299,277,75,30,1015,129,3,155,133,135,2,3,79,67,38,8,58,903,124,79,0,32,5,1,0
57,1995,<1 Year,7,0.0,0.0,2,4,0,1,190,37,3,0,0,0,0,0,4,0,0,0,0,162,14,39,0,11,0,1,0
58,1995,1-5 Years,104,20.15,75.15,55,44,11,2,307,88,34,0,14,0,2,0,33,3,2,5,19,245,66,67,0,14,3,0,0
59,1995,6-10 Years,124,28.84,74.46,66,55,20,6,207,85,38,1,39,1,3,0,23,7,2,9,24,184,49,47,0,6,6,0,0
60,1995,11-17 Years,390,21.4,66.91,212,157,69,16,451,246,82,3,174,2,3,1,80,12,6,25,66,427,130,106,0,19,13,2,0
61,1995,18-34,2184,24.05,58.16,1221,985,300,118,2631,1046,116,347,1095,243,6,1,326,53,93,140,204,2326,753,468,0,91,23,15,1
62,1995,35-49,3476,22.86,36.02,1801,1530,522,211,5737,1180,61,839,1183,555,7,3,398,374,226,174,244,4756,1219,690,2,178,55,17,0
63,1995,50-64,2798,13.32,14.64,1315,1270,336,149,5489,688,13,779,658,452,11,2,337,407,168,81,162,4552,849,562,0,160,44,9,1
64,1995,65+,577,3.37,3.26,264,247,62,33,909,105,3,130,132,108,4,0,88,58,47,7,29,794,94,102,0,19,3,2,0
65,1994,<1 Year,3,0.0,0.0,3,1,0,0,229,33,1,0,0,0,0,0,3,0,0,0,0,171,40,42,0,7,2,0,0
66,1994,1-5 Years,83,26.54,86.59,44,38,7,4,331,74,39,0,6,0,1,0,30,7,0,3,7,249,74,69,0,10,2,1,0
67,1994,6-10 Years,110,23.37,69.36,57,60,18,5,194,66,37,1,31,1,1,0,43,5,1,5,15,186,34,34,0,3,2,1,0
68,1994,11-17 Years,364,22.57,62.02,206,168,49,13,437,193,59,1,153,8,2,0,120,5,3,26,59,399,125,80,0,16,8,2,0
69,1994,18-34,2250,24.35,55.19,1293,975,317,135,2600,1110,116,354,1005,216,5,0,607,30,83,112,192,2367,759,413,5,120,35,11,0
70,1994,35-49,3365,19.74,32.22,1808,1463,453,201,5461,1027,49,811,1021,505,5,0,780,282,162,122,188,4494,1176,571,4,184,42,17,0
71,1994,50-64,2582,9.66,11.07,1221,1126,340,124,5196,526,12,652,517,413,6,0,560,347,137,42,125,4212,855,428,6,143,61,17,0
72,1994,65+,489,0.0,2.88,228,215,52,22,763,59,1,87,109,98,2,0,115,39,32,4,30,654,77,59,0,21,5,6,0
73,1993,<1 Year,5,0.0,0.0,2,3,0,1,214,21,2,0,1,0,0,0,2,0,0,0,1,175,22,34,1,3,0,0,0
74,1993,1-5 Years,125,31.89,85.33,62,55,20,8,336,114,57,0,23,0,2,0,28,10,1,2,22,292,83,62,0,8,5,0,0
75,1993,6-10 Years,116,15.13,81.44,59,53,18,5,197,69,46,0,36,0,1,0,32,1,0,2,17,172,40,45,0,5,4,0,0
76,1993,11-17 Years,318,17.42,69.15,169,140,49,18,377,205,60,1,156,8,1,0,100,10,0,3,37,365,113,81,0,14,8,1,0
