,,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,All Recipient Ages,,"556,302","8,571",794,"10,582","4,266","61,778","7,139","5,729","1,792","1,522","29,701","14,141","1,934","2,093","26,399","9,917","5,540","4,200","6,325","7,471","1,885","13,854","11,493","18,942","10,383","4,978","10,170","1,400","3,222","3,555","1,770","17,186","3,136","37,954","15,024","1,291","20,983","5,305","5,047","25,899","2,917","1,831","8,166","1,483","10,541","41,489","4,211",880,"15,508","9,658","3,010","10,537",657,"22,043"
,65 +,,"3,316",36,3,87,12,361,46,40,12,16,232,68,22,14,156,78,50,20,31,29,16,129,75,118,51,24,87,5,23,19,10,109,23,225,104,10,84,41,31,168,24,14,62,9,55,210,27,11,83,87,18,45,2,4
2013,All Recipient Ages,,"16,896",259,26,409,93,"2,066",238,177,72,45,917,453,69,81,825,308,221,123,191,193,55,498,361,633,271,152,311,42,138,120,57,534,100,"1,098",497,38,610,177,134,820,118,39,214,51,364,"1,289",131,25,446,349,98,281,24,55
,1-5 Years,,195,4,0,1,1,28,0,0,1,0,10,8,0,0,8,3,4,2,7,4,0,5,2,6,1,1,4,1,3,1,0,5,0,7,9,1,9,1,6,4,0,0,1,2,5,20,2,0,5,3,1,3,0,6
,6-10 Years,,147,0,0,1,0,20,2,2,2,1,7,7,1,2,3,1,2,1,2,2,1,2,2,8,3,1,4,1,2,1,1,2,2,4,1,0,9,2,1,7,0,2,5,0,3,14,1,0,6,3,0,1,0,2
,11-17 Years,,409,11,0,7,5,44,7,2,1,2,15,11,2,0,16,10,6,2,6,8,0,11,10,15,13,4,4,0,4,3,1,6,6,28,12,2,15,4,2,16,1,0,8,1,9,40,6,0,8,16,1,4,2,2
,18-34 Years,,"2,070",35,2,40,14,250,37,23,5,2,132,41,6,13,104,47,23,17,21,27,5,39,40,72,44,18,36,6,19,25,11,42,10,144,62,3,80,19,14,94,14,6,23,2,46,176,23,5,56,35,11,40,4,7
,35-49 Years,,"4,123",65,7,91,18,490,58,54,21,9,222,133,18,21,203,74,55,21,49,56,15,120,84,158,62,38,69,10,33,25,14,138,21,253,134,4,144,49,26,183,22,8,41,11,105,342,29,7,115,74,22,80,5,17
,50-64 Years,,"6,850",110,12,178,39,863,91,65,27,21,342,164,29,31,345,109,88,63,76,75,27,208,145,242,97,67,137,15,53,46,22,234,41,453,197,19,251,66,49,333,62,15,99,26,143,518,42,8,187,146,45,103,8,18
,65 +,,"3,102",34,5,91,16,371,43,31,15,10,189,89,13,14,146,64,43,17,30,21,7,113,78,132,51,23,57,9,24,19,8,107,20,209,82,9,102,36,36,183,19,8,37,9,53,179,28,5,69,72,18,50,5,3
2012,All Recipient Ages,,"16,487",224,31,351,126,"2,059",215,175,52,37,898,475,31,62,822,327,156,128,190,189,54,487,331,606,294,175,300,41,126,127,53,552,74,"1,181",511,30,627,168,128,687,99,65,232,49,329,"1,220",107,24,485,343,77,284,23,50
,< 1 Year,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,187,1,0,3,1,24,1,1,1,1,14,5,0,0,6,8,1,3,6,1,1,2,0,5,5,0,3,0,0,0,1,2,0,12,10,0,7,3,2,10,1,1,3,0,2,21,1,0,5,6,1,4,0,2
,6-10 Years,,139,3,1,3,1,15,5,1,1,0,3,6,0,0,2,3,0,0,1,2,2,2,2,3,5,3,3,0,3,0,0,1,1,15,5,0,4,4,0,8,0,0,0,0,4,11,3,1,6,2,0,0,2,2
,11-17 Years,,430,9,0,8,3,71,3,2,0,0,16,19,2,2,24,9,3,5,5,5,0,11,10,14,10,8,4,1,5,3,1,9,1,26,9,2,13,5,6,7,2,0,7,2,5,41,6,1,6,13,3,7,1,5
,18-34 Years,,"2,151",23,6,35,17,285,30,19,4,4,99,61,3,14,108,47,21,15,20,19,11,53,42,74,42,20,34,4,13,21,4,73,8,137,72,5,87,25,23,75,16,7,32,3,46,190,28,6,61,47,7,47,1,7
,35-49 Years,,"4,180",78,11,90,37,499,43,49,10,9,234,131,9,17,219,73,41,25,42,57,10,129,71,143,62,63,95,8,24,37,11,137,19,292,128,9,149,41,28,159,30,12,57,8,82,341,27,5,137,79,20,73,6,14
,50-64 Years,,"6,445",84,11,142,50,819,94,71,24,16,334,176,10,15,300,119,61,56,80,78,24,198,157,247,95,57,111,18,53,42,25,226,29,461,199,12,250,60,37,286,33,30,90,23,148,468,24,8,192,134,31,120,8,9
,65 +,,"2,953",26,2,70,17,345,39,32,12,7,198,77,7,14,163,68,29,24,36,27,6,92,49,120,75,24,50,10,28,24,10,104,16,238,88,2,117,30,32,142,17,15,43,13,42,148,18,3,78,62,15,33,5,11
2011,All Recipient Ages,,"16,816",254,25,385,126,"1,988",258,173,53,36,961,464,53,65,863,323,178,136,173,217,50,468,335,576,305,148,315,44,107,119,66,590,100,"1,199",566,42,581,184,133,698,97,51,242,56,351,"1,275",116,31,461,311,77,323,16,52
,1-5 Years,,173,6,0,5,0,20,3,2,0,0,5,7,0,3,8,4,2,3,0,2,0,4,3,7,3,1,7,1,2,3,0,2,0,9,4,0,2,3,2,12,0,2,4,0,3,13,1,1,2,5,0,5,0,2
,6-10 Years,,130,2,0,1,0,12,0,0,0,0,1,5,0,1,4,3,2,0,1,5,0,1,2,3,4,3,5,0,0,1,1,6,0,15,6,0,3,2,1,6,1,0,3,1,2,14,1,0,4,3,2,1,0,2
,11-17 Years,,454,11,0,7,5,68,6,1,0,1,15,22,0,3,29,8,2,5,4,8,3,8,8,7,7,4,4,2,6,1,1,17,3,34,13,0,12,10,2,13,1,0,6,1,4,51,6,1,12,7,3,8,1,3
,18-34 Years,,"2,012",30,2,36,18,260,34,17,5,2,118,39,4,7,99,39,24,16,24,37,11,52,34,76,32,15,29,8,13,12,6,59,14,128,57,1,71,30,17,66,11,10,21,6,62,197,15,2,50,33,8,44,4,7
,35-49 Years,,"4,417",64,6,82,31,520,75,49,16,13,275,132,13,19,220,89,45,24,47,69,12,115,96,145,84,49,85,8,22,35,20,122,23,302,156,9,172,41,27,179,15,15,71,11,90,379,25,6,114,84,21,82,3,10
,50-64 Years,,"6,679",103,9,172,49,798,92,71,21,12,344,187,28,24,345,125,63,53,74,71,18,197,131,242,120,57,115,13,47,37,26,270,37,497,240,18,245,67,48,287,45,20,89,27,145,458,37,14,202,107,32,128,6,16
,65 +,,"2,951",38,8,82,23,310,48,33,11,8,203,72,8,8,158,55,40,35,23,25,6,91,61,96,55,19,70,12,17,30,12,114,23,214,90,14,76,31,36,135,24,4,48,10,45,163,31,7,77,72,11,55,2,12
2010,All Recipient Ages,,"16,900",241,22,340,113,"1,899",277,199,60,36,976,437,64,54,845,340,192,111,209,240,45,456,389,577,333,145,313,46,112,102,57,595,106,"1,196",606,35,614,175,135,746,100,48,251,35,281,"1,331",114,44,487,322,82,300,19,48
,< 1 Year,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,158,7,0,3,0,22,0,2,0,0,7,8,1,0,3,2,4,2,1,2,1,3,2,4,1,0,3,0,1,5,3,2,1,13,3,0,7,1,1,6,0,1,2,0,6,11,2,0,2,5,0,3,0,5
,6-10 Years,,144,0,0,2,3,18,2,1,2,0,3,3,0,2,3,2,3,0,0,1,0,4,0,1,1,3,3,0,3,0,0,0,0,16,11,0,5,1,2,6,4,0,1,1,3,13,2,2,6,4,1,3,0,3
,11-17 Years,,445,10,0,3,6,56,8,1,3,1,18,11,2,1,27,15,9,5,6,9,0,8,11,15,7,4,7,2,2,5,1,14,3,29,10,0,15,9,4,19,4,1,7,1,7,37,1,2,10,10,1,8,0,0
,18-34 Years,,"2,167",31,1,32,14,277,38,28,5,2,114,57,4,9,134,42,35,18,28,25,3,51,48,57,45,20,45,7,15,16,4,77,14,129,75,7,57,26,20,69,13,7,38,7,33,205,34,4,54,39,7,35,2,10
,
,35-49 Years,,"4,485",70,4,76,29,487,71,57,13,8,244,128,18,18,241,95,34,24,54,69,12,125,94,145,96,50,88,8,26,29,15,160,20,311,165,5,181,38,26,194,27,16,70,9,71,392,22,10,133,91,22,83,3,8
,50-64 Years,,"6,686",94,15,153,45,747,117,82,23,22,361,167,26,13,327,118,79,41,92,101,25,187,156,249,123,58,105,15,48,35,24,215,43,467,246,13,248,70,58,309,34,20,93,7,119,524,39,18,213,117,39,119,12,15
,65 +,,"2,814",29,2,71,16,292,41,28,14,3,229,63,13,11,110,66,28,21,28,33,4,78,78,106,60,10,62,14,17,12,10,126,25,231,96,10,101,30,24,143,18,3,40,10,42,149,14,8,69,56,12,49,2,7
2009,All Recipient Ages,,"16,829",225,21,365,131,"1,816",232,172,51,49,893,402,53,43,894,310,158,128,213,227,69,534,389,657,321,168,353,46,109,83,64,606,128,"1,269",484,36,557,169,164,798,110,51,207,47,337,"1,279",129,37,498,276,82,316,23,50
,< 1 Year,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,179,5,1,0,1,30,0,4,0,0,8,16,0,1,10,4,3,0,0,0,1,2,4,3,4,1,3,0,2,0,0,5,0,9,5,0,2,1,2,11,0,0,3,0,5,16,2,1,4,3,0,5,0,2
,6-10 Years,,156,1,1,1,3,21,2,2,1,1,8,6,0,0,7,5,4,1,5,1,0,8,3,3,1,0,0,0,0,0,0,3,0,10,6,0,3,4,2,3,0,2,1,1,4,19,2,0,1,5,1,1,0,3
,11-17 Years,,528,12,0,7,5,76,9,1,0,2,29,11,2,3,25,10,10,5,6,11,0,8,12,11,14,4,12,1,5,4,3,10,8,42,6,1,17,7,3,17,3,2,5,1,9,54,10,3,12,9,3,6,1,1
,18-34 Years,,"2,205",32,2,39,18,279,26,22,4,7,95,44,6,8,127,44,15,19,34,37,9,66,54,70,33,27,40,6,14,15,6,70,16,165,62,0,74,24,22,92,7,5,34,6,48,190,30,2,57,33,10,50,4,6
,35-49 Years,,"4,544",45,8,98,37,492,50,52,12,14,212,117,11,13,211,74,37,35,71,68,24,153,112,206,72,47,84,7,25,23,19,175,38,311,152,8,143,37,34,216,30,19,52,4,109,388,24,7,157,75,20,94,7,15
,50-64 Years,,"6,552",102,8,136,51,652,96,68,25,19,332,160,24,13,375,126,62,53,73,89,29,205,139,262,131,72,145,19,41,27,30,222,52,486,195,13,256,74,69,307,54,17,74,27,126,477,38,15,193,113,36,119,10,15
,65 +,,"2,661",28,1,84,16,265,49,23,9,6,209,48,10,5,139,47,27,15,24,21,6,92,65,102,66,17,69,13,22,14,6,119,14,246,58,13,62,22,32,152,16,6,38,8,36,135,23,9,74,38,12,41,1,8
2008,All Recipient Ages,,"16,521",216,16,335,111,"1,895",202,170,65,38,906,361,62,44,867,288,136,128,166,212,51,383,334,646,333,199,320,37,87,84,59,622,118,"1,322",513,36,635,144,145,819,120,33,248,49,268,"1,227",119,36,505,290,86,347,22,66
,< 1 Year,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,137,2,1,7,0,13,4,3,0,0,5,3,1,0,8,5,0,0,1,2,1,1,3,5,6,0,1,1,2,1,1,4,0,16,5,0,3,1,1,6,0,0,1,1,3,8,0,0,3,4,0,3,0,1
,6-10 Years,,149,2,1,3,2,26,1,1,0,0,2,7,0,0,9,3,1,0,1,1,1,4,5,3,5,1,4,1,0,0,2,1,3,9,2,0,3,2,1,7,1,1,3,0,1,18,0,1,3,3,1,2,0,1
,11-17 Years,,486,11,0,3,4,66,3,4,1,1,25,16,1,2,25,9,10,4,2,7,0,10,7,15,11,7,15,4,3,1,4,19,5,27,21,0,12,4,6,24,1,1,11,1,7,34,9,0,11,9,0,8,0,5
,18-34 Years,,"2,254",29,2,44,14,293,27,22,4,7,104,57,15,7,121,36,19,20,23,29,6,41,44,83,34,34,44,2,14,19,4,72,13,172,69,5,75,18,24,82,26,4,30,6,37,204,25,4,92,32,16,38,4,8
,35-49 Years,,"4,460",57,4,87,41,530,58,45,14,12,240,95,12,15,233,80,29,32,44,55,15,107,97,166,88,67,89,7,22,21,19,162,36,344,144,9,164,44,36,184,28,11,61,12,71,388,29,8,125,81,20,95,8,19
,50-64 Years,,"6,517",93,6,139,38,719,70,60,29,17,345,134,24,15,354,105,48,51,74,84,18,154,125,267,130,70,122,14,35,26,21,249,49,508,213,14,278,53,56,353,55,12,104,18,121,456,39,16,198,114,37,160,7,20
,65 +,,"2,517",22,2,52,12,248,39,34,17,1,185,49,9,5,117,50,29,21,21,34,10,66,53,107,59,20,45,8,11,16,8,115,12,246,59,8,100,22,21,163,9,4,38,11,28,119,17,7,73,47,12,41,3,12
2007,All Recipient Ages,,"16,634",244,22,346,128,"1,865",177,154,61,31,875,397,53,62,787,288,143,119,165,251,69,406,391,656,351,219,358,44,111,113,75,614,97,"1,360",460,33,623,133,160,804,125,42,256,53,314,"1,154",123,46,479,261,87,372,18,59
,< 1 Year,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,1-5 Years,,162,5,0,3,3,10,3,3,0,1,11,2,0,1,6,4,1,1,1,0,0,2,1,4,6,6,2,1,1,0,0,4,1,14,5,0,5,3,1,10,0,0,4,0,7,11,4,1,4,2,5,1,0,2
,6-10 Years,,141,3,0,1,2,23,3,1,0,1,6,6,0,0,7,2,1,0,3,5,3,3,1,3,7,3,1,0,2,0,0,3,0,17,0,1,3,0,1,4,3,0,1,0,0,13,0,1,3,2,0,1,0,1
,11-17 Years,,491,6,2,5,5,69,3,7,0,1,24,14,0,0,25,8,6,6,7,12,4,5,8,15,6,4,10,0,0,4,4,17,3,30,9,1,20,4,4,24,4,1,10,0,8,54,5,2,10,9,3,12,0,1
,18-34 Years,,"2,265",33,3,47,12,276,32,19,5,5,103,49,5,14,110,38,20,15,28,37,11,44,43,80,48,37,50,6,11,24,11,76,10,186,73,3,92,21,27,78,22,6,26,5,41,177,25,3,74,39,9,46,3,7
,35-49 Years,,"4,677",82,5,83,35,499,51,41,23,5,241,127,9,14,225,74,29,33,47,67,19,115,119,179,97,79,93,11,29,30,20,168,33,376,118,9,205,36,44,209,37,12,85,12,91,347,31,10,136,85,26,105,4,17
,50-64 Years,,"6,519",91,11,154,49,708,55,59,19,15,338,151,25,23,324,114,54,38,65,100,23,167,159,285,143,80,147,19,53,40,28,239,36,535,191,12,223,44,52,342,43,20,94,24,132,425,39,17,199,82,36,161,10,26
,65 +,,"2,377",24,1,53,22,280,30,24,14,3,152,48,14,10,89,48,32,26,14,30,9,70,60,90,44,10,55,7,15,15,12,107,14,202,64,7,75,25,31,137,16,3,36,12,35,127,19,12,53,42,8,46,1,4
2006,All Recipient Ages,,"17,095",243,15,300,144,"1,888",220,141,55,40,817,387,67,70,923,299,158,111,178,217,78,430,389,668,419,122,359,38,126,109,78,578,115,"1,363",450,44,683,122,181,987,112,63,248,53,345,"1,147",122,49,542,242,117,375,17,51
,< 1 Year,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,1-5 Years,,163,2,0,8,1,17,1,1,0,0,10,5,0,0,7,4,1,0,1,4,0,4,2,8,6,2,0,0,3,1,1,4,0,11,8,2,3,0,4,7,0,0,1,0,6,11,2,0,7,1,1,4,0,2
,6-10 Years,,138,2,0,3,0,17,3,1,0,0,7,9,0,0,7,5,0,0,0,2,1,4,4,2,5,1,1,0,0,0,0,3,1,13,3,0,4,2,0,5,1,0,0,1,3,17,2,1,2,3,0,3,0,0
,11-17 Years,,584,9,0,12,3,109,9,5,0,1,15,20,1,2,30,11,7,7,13,5,3,10,9,25,12,4,8,2,5,5,1,23,6,39,21,1,17,7,8,29,6,4,7,1,13,33,1,2,9,4,3,6,0,1
,18-34 Years,,"2,521",34,4,48,22,325,33,17,9,2,104,64,8,12,142,51,22,26,24,28,13,54,38,79,65,16,43,8,14,15,15,61,12,190,70,4,111,12,20,102,29,12,43,8,57,218,33,5,79,41,19,51,1,8
,35-49 Years,,"4,771",85,0,63,54,552,53,42,12,13,209,105,13,20,264,81,40,31,56,66,22,114,130,190,119,36,85,12,40,30,22,171,34,401,135,14,180,41,47,230,35,17,71,14,98,304,32,13,168,58,32,100,7,10
,50-64 Years,,"6,523",89,7,121,51,628,88,62,20,22,318,136,32,24,361,116,62,38,61,82,32,182,145,281,152,54,161,10,52,45,29,209,45,504,167,15,263,43,65,406,32,22,90,18,134,439,41,20,224,100,44,155,6,20
,65 +,,"2,388",22,4,45,13,239,33,13,14,2,154,48,13,12,111,31,26,9,23,30,7,62,61,83,58,9,61,6,12,13,10,107,17,205,46,8,105,16,37,208,9,8,36,10,34,125,11,8,53,35,18,56,3,9
2005,All Recipient Ages,,"16,485",221,29,303,139,"1,781",218,142,43,48,888,356,76,48,868,357,154,110,191,226,55,393,390,637,358,143,319,51,103,93,61,568,97,"1,271",435,41,686,147,180,902,127,62,230,65,313,"1,103",106,37,503,266,90,378,21,56
,< 1 Year,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,
,1-5 Years,,155,6,0,3,1,17,0,3,0,0,5,6,1,0,6,4,2,2,1,4,0,0,0,2,4,4,1,0,3,1,0,5,0,5,9,0,5,1,8,5,0,1,3,1,3,13,2,0,3,4,2,5,0,4
,6-10 Years,,155,4,0,3,0,19,3,0,0,0,6,1,0,0,5,5,0,2,0,0,0,5,4,7,4,2,5,0,2,0,0,5,1,14,4,0,7,2,1,6,0,1,4,1,4,10,4,0,5,3,1,4,0,1
,11-17 Years,,578,5,0,6,6,73,9,5,2,0,34,20,0,2,24,19,7,4,7,8,1,7,10,27,6,6,15,1,4,10,2,13,7,47,19,1,24,6,6,21,4,3,9,3,9,39,4,2,15,9,2,12,0,3
,18-34 Years,,"2,492",45,3,37,30,321,45,16,5,6,126,62,9,9,147,53,18,18,36,41,12,63,51,85,42,22,60,5,17,13,6,83,6,174,61,5,101,24,26,110,32,4,32,8,58,174,21,3,59,34,8,55,3,8
,35-49 Years,,"4,751",57,13,91,39,505,60,58,12,12,219,94,28,16,262,109,42,29,51,72,20,120,111,188,113,55,99,14,33,34,16,163,33,362,114,12,179,27,57,238,41,26,72,18,100,318,37,11,158,74,26,97,7,9
,50-64 Years,,"6,167",84,10,122,53,614,68,44,13,26,349,125,31,16,319,132,62,47,77,82,16,142,154,249,134,45,101,22,36,30,23,190,41,465,168,16,284,60,52,352,40,20,80,27,108,434,30,14,220,111,36,159,9,25
,65 +,,"2,183",20,3,41,10,232,33,16,11,4,149,47,7,5,105,35,23,8,19,19,6,56,60,79,54,9,38,9,8,5,14,108,9,204,59,7,86,27,30,170,10,7,30,7,31,115,8,7,43,31,15,46,2,6
2004,All Recipient Ages,,"16,007",179,33,282,141,"1,926",189,138,48,44,805,409,50,66,822,323,181,107,155,272,61,371,362,661,371,147,281,46,101,99,67,561,84,"1,068",399,43,642,136,154,881,115,68,199,66,338,"1,077",135,25,460,300,83,380,21,35
,< 1 Year,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,152,1,0,4,1,24,2,2,1,1,8,4,0,0,5,5,3,1,5,4,0,0,2,3,5,2,3,0,0,0,0,3,0,7,3,0,7,1,2,5,0,0,3,1,0,10,2,0,7,6,0,7,1,1
,6-10 Years,,130,0,0,2,0,20,0,0,0,0,8,5,0,0,5,3,1,0,1,5,0,1,2,6,1,1,3,1,0,2,1,2,0,10,2,0,6,0,0,6,0,0,4,1,5,15,1,0,2,1,3,2,1,1
,11-17 Years,,479,5,2,6,3,60,5,3,0,0,30,29,2,1,34,8,8,5,4,5,3,7,7,19,8,6,6,0,6,1,1,16,0,32,7,2,9,1,8,14,2,2,10,0,8,38,9,0,16,9,5,10,1,6
,18-34 Years,,"2,671",36,6,41,35,326,39,19,6,5,119,66,8,12,148,52,20,22,31,41,7,53,55,110,58,35,47,6,15,16,13,93,17,175,68,5,93,15,23,129,18,13,40,12,61,200,35,1,100,54,12,51,5,4
,35-49 Years,,"4,834",62,7,83,39,564,66,55,16,15,217,126,17,28,240,112,57,31,51,96,14,120,103,202,109,42,83,11,31,27,21,172,27,328,116,16,184,49,50,265,43,18,59,16,118,334,38,10,125,75,19,113,6,8
,50-64 Years,,"5,882",59,15,112,59,695,60,44,13,18,293,148,17,21,287,113,67,35,51,98,28,153,151,250,137,46,109,18,39,46,27,209,25,399,163,14,265,49,54,331,47,28,70,32,113,371,36,7,166,115,27,138,4,10
,65 +,,"1,857",16,3,34,4,237,17,15,12,5,130,31,6,4,103,30,25,13,12,23,9,37,42,71,52,15,30,10,10,7,4,65,15,117,40,6,78,21,17,131,5,7,13,4,33,109,14,7,44,40,17,59,3,5
2003,All Recipient Ages,,"15,138",230,20,241,108,"1,801",178,142,55,39,707,317,59,61,792,322,152,93,181,238,57,328,338,606,358,140,221,47,110,98,69,457,75,938,400,53,567,168,209,922,113,68,191,61,309,"1,074",127,33,442,295,107,352,18,51
,1-5 Years,,155,4,0,3,2,17,0,3,0,0,8,8,1,1,10,2,3,0,0,7,0,2,1,8,1,1,0,0,0,0,0,11,2,11,6,0,3,5,3,7,1,0,7,0,1,8,2,0,2,2,0,2,0,0
,6-10 Years,,149,2,0,3,0,19,0,2,1,0,16,4,1,2,8,1,1,1,1,1,0,2,1,1,3,7,0,2,3,2,0,5,2,9,3,0,3,3,1,7,1,0,4,1,1,9,0,0,4,3,1,5,1,2
,11-17 Years,,506,13,1,5,2,90,2,1,0,2,29,13,1,1,26,9,9,5,6,8,3,11,5,14,10,8,4,1,8,2,1,18,3,32,10,2,21,8,6,19,3,3,9,2,11,29,6,3,12,5,4,10,0,0
,18-34 Years,,"2,514",45,3,35,22,322,33,13,9,6,108,56,7,14,131,51,25,14,29,46,10,58,56,93,48,18,37,6,22,19,9,70,14,153,70,9,109,17,42,121,26,12,37,10,63,194,25,3,69,52,16,46,2,9
,35-49 Years,,"4,644",60,6,73,39,501,60,51,18,10,187,85,17,22,259,101,44,31,57,67,22,91,107,185,107,54,77,13,25,31,29,147,19,289,132,15,181,45,61,254,35,24,54,14,108,378,38,8,150,84,38,116,7,18
,50-64 Years,,"5,483",91,7,93,34,632,63,50,16,17,256,123,24,18,289,119,51,34,66,94,16,125,126,239,137,48,75,21,41,32,22,149,30,332,144,20,198,69,80,359,40,26,62,24,99,360,45,10,172,115,37,126,8,19
,65 +,,"1,687",15,3,29,9,220,20,22,11,4,103,28,8,3,69,39,19,8,22,15,6,39,42,66,52,4,28,4,11,12,8,57,5,112,35,7,52,21,16,155,7,3,18,10,26,96,11,9,33,34,11,47,0,3
2002,All Recipient Ages,,"14,781",229,21,251,107,"1,657",165,159,69,43,652,347,68,52,768,323,173,110,190,208,68,391,312,593,327,126,213,45,87,87,53,469,71,995,348,42,629,143,194,864,87,70,175,48,318,"1,047",112,18,404,270,102,381,21,79
,< 1 Year,,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,141,3,0,2,2,16,2,1,0,1,5,7,0,0,8,4,1,2,4,4,0,2,3,4,0,1,2,0,1,1,1,4,1,8,1,0,4,3,3,13,1,1,1,1,4,10,1,0,2,2,0,2,0,2
,6-10 Years,,157,3,0,3,3,19,1,0,1,0,6,4,0,1,5,3,1,1,1,5,1,3,3,4,1,3,1,1,2,2,1,7,0,15,3,1,7,2,3,5,2,0,5,1,2,9,2,0,5,1,1,3,0,4
,11-17 Years,,465,7,0,9,4,63,4,1,0,1,23,9,3,2,28,14,9,4,4,8,2,12,9,16,7,4,10,0,5,3,5,18,8,26,10,1,21,6,4,23,4,1,9,2,7,25,3,1,6,10,2,9,2,1
,18-34 Years,,"2,573",52,3,41,26,307,32,23,9,8,101,67,13,8,134,41,27,18,41,41,8,51,50,115,61,24,42,4,12,12,11,84,12,165,67,4,106,20,29,134,23,13,24,3,58,198,27,2,79,43,17,69,2,12
,35-49 Years,,"4,666",76,11,74,32,515,55,60,17,13,186,105,21,13,254,105,51,35,64,61,24,117,108,205,95,48,68,11,26,21,16,140,14,316,108,13,214,42,57,253,23,27,64,17,107,346,38,5,125,75,32,134,4,25
,50-64 Years,,"5,240",74,6,99,30,558,53,55,33,15,234,125,22,21,262,132,65,42,62,80,30,145,110,207,115,40,73,22,36,40,15,151,29,359,132,16,201,53,67,334,28,23,52,16,115,379,32,9,146,99,40,120,11,27
,65 +,,"1,533",13,1,23,10,178,18,19,9,5,97,30,9,7,77,24,19,8,14,9,3,61,29,42,48,6,17,7,5,8,4,63,6,106,27,7,76,17,31,102,6,5,20,8,25,80,9,1,41,40,10,44,2,7
,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,All Recipient Ages,,"14,279",214,20,238,94,"1,544",150,157,59,42,731,329,52,41,671,263,172,94,187,216,86,453,345,553,334,134,226,47,76,107,51,499,68,943,326,59,599,154,191,823,113,76,236,50,271,902,111,17,395,268,86,299,16,91
,< 1 Year,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,152,1,0,2,0,21,1,0,1,2,7,3,3,1,9,2,3,2,4,2,1,2,0,3,4,3,5,0,0,1,0,6,0,3,3,1,14,4,1,6,0,0,4,0,0,13,1,0,1,1,3,3,0,5
,6-10 Years,,141,2,0,1,0,21,0,2,1,2,7,4,1,2,9,2,2,0,1,2,0,3,0,5,3,1,3,0,1,2,0,1,0,12,5,1,9,2,2,6,1,0,0,1,5,9,1,0,4,1,0,2,0,2
,11-17 Years,,429,9,0,7,0,74,3,6,2,1,17,16,2,1,20,12,6,6,7,7,1,10,12,12,5,4,4,1,5,1,2,13,1,28,3,1,14,7,4,26,4,0,9,2,4,25,1,0,11,9,0,7,1,6
