,,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,All Recipient Ages,,"556,302","8,571",794,"10,582","4,266","61,778","7,139","5,729","1,792","1,522","29,701","14,141","1,934","2,093","26,399","9,917","5,540","4,200","6,325","7,471","1,885","13,854","11,493","18,942","10,383","4,978","10,170","1,400","3,222","3,555","1,770","17,186","3,136","37,954","15,024","1,291","20,983","5,305","5,047","25,899","2,917","1,831","8,166","1,483","10,541","41,489","4,211",880,"15,508","9,658","3,010","10,537",657,"22,043"
,1-5 Years,,148,4,0,1,3,12,3,1,0,1,7,3,0,3,7,5,1,3,4,3,0,4,0,6,4,0,5,0,1,1,0,3,0,4,5,0,6,1,1,8,0,1,3,0,4,13,3,0,8,3,1,1,0,1
,6-10 Years,,122,3,0,3,0,10,1,1,0,0,6,3,0,1,4,4,1,0,1,0,0,2,1,4,3,1,2,0,3,1,0,3,0,14,3,1,7,3,0,3,2,1,2,0,4,13,1,0,4,3,0,2,0,1
,11-17 Years,,432,7,0,7,2,65,5,3,1,3,26,9,0,1,16,5,4,4,4,10,1,6,3,18,9,3,8,1,2,3,0,14,2,33,15,1,12,6,5,15,0,2,6,0,9,54,6,0,14,3,3,6,0,0
,18-34 Years,,"2,841",41,1,70,19,395,65,25,5,7,164,106,9,13,180,56,27,14,34,48,9,52,51,59,57,21,45,9,11,21,2,69,17,180,84,8,68,23,31,97,12,8,41,4,46,312,29,4,67,59,5,50,7,4
,35-49 Years,,"6,195",89,13,108,54,697,132,68,18,8,381,220,27,23,339,101,45,39,71,109,15,122,117,141,102,78,100,19,35,65,18,190,30,397,198,15,214,57,66,205,27,13,133,12,156,664,46,4,193,109,18,82,7,5
,50-64 Years,,"9,809",149,18,188,78,"1,082",146,114,27,23,680,384,44,38,535,154,76,79,113,131,21,223,219,273,163,77,162,13,39,100,19,336,46,804,301,14,406,69,66,358,39,29,185,24,194,856,62,8,306,141,44,132,10,11
,65 +,,"5,952",61,6,155,43,614,86,66,23,13,456,161,19,28,285,85,60,58,59,54,14,127,129,189,107,53,126,9,24,49,19,233,48,538,180,8,277,38,44,250,9,14,120,10,103,416,53,5,187,109,19,94,10,9
2021,All Recipient Ages,,"24,670",385,42,493,264,"2,777",347,259,69,68,"1,442",930,74,110,"1,317",445,219,197,246,359,62,551,447,612,396,220,452,61,136,235,52,732,131,"1,925",753,48,"1,032",168,217,847,92,71,452,64,513,"2,386",242,19,754,451,126,325,31,24
,1-5 Years,,184,4,0,5,4,18,2,0,2,1,4,4,2,1,7,5,3,0,2,1,0,1,3,9,11,3,6,0,3,2,1,1,1,16,4,0,10,1,2,6,0,1,3,0,5,12,0,0,5,2,2,5,1,3
,6-10 Years,,138,1,1,2,2,12,3,0,0,0,13,4,0,0,9,2,2,0,2,1,1,1,2,3,0,2,4,1,4,2,0,5,1,11,2,0,5,2,2,5,2,0,0,1,2,12,2,1,3,5,0,3,0,0
