,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
2005,,"28,119",341,40,543,243,"3,092",380,251,86,77,"1,668",654,94,70,"1,438",747,251,216,381,394,87,623,591,"1,027",600,226,519,76,186,153,104,957,163,"2,091",730,63,"1,111",289,260,"1,619",175,90,365,90,495,"1,942",190,54,767,494,168,676,37,135
2004,,"27,042",278,50,454,228,"3,152",339,240,85,68,"1,543",701,79,101,"1,385",664,260,193,343,467,94,583,561,"1,068",590,237,457,66,168,144,102,905,133,"1,826",691,77,"1,098",287,224,"1,535",166,100,335,91,535,"1,889",231,35,689,539,157,642,40,117
2003,,"25,475",338,39,393,180,"3,008",308,235,85,55,"1,426",580,84,98,"1,322",670,258,167,343,464,98,488,520,918,574,232,389,65,158,137,94,805,119,"1,585",673,78,966,292,295,"1,553",168,92,318,82,477,"1,880",222,52,668,488,165,615,37,119
2002,,"24,916",316,36,423,179,"2,852",317,247,95,62,"1,354",567,89,84,"1,222",586,283,197,333,443,99,593,477,890,558,205,400,60,141,140,80,816,119,"1,714",644,71,984,256,271,"1,478",131,90,310,68,504,"1,795",205,36,597,455,165,683,38,158
2001,,"24,243",308,34,376,175,"2,639",328,274,84,61,"1,513",575,74,77,"1,093",493,309,178,317,397,121,643,517,890,556,211,398,63,128,151,81,841,113,"1,642",640,86,974,259,265,"1,397",172,105,411,69,426,"1,617",175,28,609,442,157,542,25,184
2000,,"23,274",358,28,322,184,"2,494",309,255,90,56,"1,281",542,65,100,"1,110",455,293,183,292,386,93,720,477,835,541,191,468,78,147,144,72,782,106,"1,512",629,62,"1,034",224,230,"1,271",131,89,381,53,456,"1,586",179,33,564,466,152,513,36,216
1999,,"22,030",285,36,325,179,"2,303",278,245,83,73,"1,246",488,76,90,"1,046",397,272,178,322,359,80,633,435,752,474,205,456,53,114,127,51,805,105,"1,462",587,57,906,237,191,"1,284",100,68,333,59,407,"1,536",175,46,563,410,159,523,33,323
1998,,"21,526",324,31,292,173,"2,427",277,219,96,45,"1,179",467,67,76,"1,046",430,244,176,310,336,73,563,435,789,432,214,446,55,118,131,69,689,114,"1,386",583,52,907,227,165,"1,199",118,67,307,59,410,"1,469",173,25,552,392,164,526,31,371
1997,,"20,316",305,16,259,188,"2,351",268,215,69,41,"1,148",461,52,73,"1,035",379,224,165,300,344,57,482,427,703,425,165,395,45,120,121,60,693,83,"1,280",536,46,863,184,166,"1,199",82,80,283,58,358,"1,326",153,37,549,316,155,536,32,408
1996,,"19,765",331,27,245,169,"2,303",237,221,83,44,986,394,52,80,"1,058",380,234,151,306,329,65,507,394,709,412,175,365,58,134,84,57,638,124,"1,157",489,51,808,216,166,"1,177",52,74,298,38,388,"1,243",156,39,567,358,159,509,28,440
1995,,"19,396",348,37,222,172,"2,194",284,208,71,60,"1,067",421,46,72,"1,079",369,199,161,311,360,50,468,380,711,382,182,402,59,111,84,56,585,130,"1,216",462,44,825,270,183,"1,083",66,53,242,53,365,"1,248",165,44,459,321,116,484,23,393
1994,,"18,299",322,22,257,173,"2,081",230,165,53,54,858,369,56,53,994,393,270,130,288,351,75,394,365,648,362,180,429,65,128,90,43,549,114,"1,071",488,50,768,264,193,923,55,60,281,49,321,"1,179",131,42,495,328,121,448,21,450
1993,,"17,631",308,33,246,178,"2,116",277,184,54,47,725,374,42,43,844,387,228,144,281,288,46,401,348,612,367,159,382,54,145,97,58,495,102,"1,039",360,34,768,248,189,939,54,45,240,38,333,"1,134",152,28,469,333,112,424,30,597
1992,,"16,134",266,20,148,146,"1,901",196,145,53,56,727,313,69,61,703,336,175,120,210,269,59,353,306,541,287,100,300,44,122,92,49,405,88,962,326,43,752,197,168,896,45,42,244,32,290,"1,047",129,29,399,277,121,388,17,"1,070"
1991,,"15,756",238,30,133,120,"1,698",162,156,26,52,628,252,47,58,595,311,166,141,230,229,56,272,328,491,256,113,280,44,118,79,40,391,105,779,306,43,651,156,126,763,49,37,175,14,260,950,147,35,403,273,100,382,24,"2,238"
1990,,"15,001",229,18,116,93,"1,099",128,117,27,31,403,167,34,55,413,235,140,85,146,145,55,168,250,294,171,65,180,24,66,33,41,279,47,676,194,33,480,139,81,653,31,47,121,27,201,604,97,28,303,190,84,278,14,"5,366"
1989,,"13,140",191,10,46,67,513,76,70,10,17,199,83,43,23,255,163,90,66,69,66,38,78,159,147,92,49,131,22,47,11,24,124,21,290,82,17,171,79,31,394,20,18,66,17,104,386,36,12,168,72,41,227,5,"7,904"
1988,,"12,623",156,7,19,41,381,48,63,11,18,123,97,16,14,221,141,82,49,49,35,8,56,106,126,51,38,64,9,35,9,17,99,29,215,70,0,137,71,32,321,13,19,64,8,82,219,39,10,137,63,25,181,6,"8,693"
