,,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
,1-5 Years,163,69,0,14,0,3,0,54,10,0,0,13
,6-10 Years,145,47,1,32,1,1,0,48,2,0,6,7
,11-17 Years,408,104,1,126,4,1,0,122,8,1,19,22
,18-34 Years,"2,519",154,86,"1,060",338,6,0,391,55,33,294,102
,35-49 Years,"4,834",63,768,"1,277","1,114",11,0,474,414,73,529,111
,50-64 Years,"6,736",39,"2,211","1,015","1,330",30,0,681,691,76,465,198
,,,,,,,,,,,,,
,65 +,"3,071",15,"1,175",351,691,26,0,324,217,47,113,112
2014,All Recipient Ages,"17,108",412,"4,286","3,713","3,105",66,0,"1,921","1,499",225,"1,231",650
,< 1 Year,3,1,0,0,0,0,0,2,0,0,0,0
,1-5 Years,151,72,0,11,0,2,0,49,6,0,2,9
,6-10 Years,128,43,0,24,1,2,0,33,6,0,6,13
,11-17 Years,434,99,1,151,1,3,0,114,7,2,35,21
,18-34 Years,"2,068",95,120,845,236,6,0,320,53,30,237,126
,35-49 Years,"4,363",53,820,"1,162",878,8,0,378,437,63,435,129
,50-64 Years,"6,645",31,"2,126","1,103","1,236",20,0,683,753,87,403,203
,65 +,"3,316",18,"1,219",417,753,25,0,342,237,43,113,149
2013,All Recipient Ages,"16,896",478,"4,245","3,633","3,082",63,2,"1,813","1,544",262,"1,088",686
,1-5 Years,195,81,0,17,0,3,0,64,13,1,3,13
,6-10 Years,147,59,0,29,1,2,0,35,10,0,4,7
,11-17 Years,409,104,1,140,2,0,0,100,14,3,21,24
,18-34 Years,"2,070",112,98,883,239,6,1,313,58,29,215,116
,35-49 Years,"4,123",55,780,"1,106",820,6,0,365,406,70,377,138
,50-64 Years,"6,850",50,"2,245","1,097","1,290",24,1,622,793,106,390,232
,65 +,"3,102",17,"1,121",361,730,22,0,314,250,53,78,156
2012,All Recipient Ages,"16,487",440,"3,993","3,669","3,198",56,0,"1,765","1,447",213,"1,036",670
,< 1 Year,2,1,0,0,0,0,0,1,0,0,0,0
,1-5 Years,187,79,0,17,1,4,0,59,12,2,0,13
,6-10 Years,139,43,0,27,1,1,0,45,6,0,6,10
,11-17 Years,430,105,1,129,8,0,0,119,8,0,20,40
,18-34 Years,"2,151",102,90,939,283,6,0,325,51,21,205,129
,35-49 Years,"4,180",54,734,"1,126",835,9,0,408,441,59,391,123
,50-64 Years,"6,445",36,"2,090","1,038","1,352",21,0,556,703,82,339,228
,65 +,"2,953",20,"1,078",393,718,15,0,252,226,49,75,127
2011,All Recipient Ages,"16,816",460,"4,076","3,630","3,290",70,0,"1,730","1,517",252,"1,051",740
,1-5 Years,173,77,0,13,2,1,0,60,11,0,1,8
