,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
New York,,"61,108","1,742","3,186","2,989","2,345","2,645","2,584","2,266","2,153","1,945","1,835","1,656","1,797","1,848","1,855","1,974","1,995","2,105","2,285","2,091","1,826","1,585","1,714","1,642","1,512","1,462","1,386","1,280","1,157","1,216","1,071","1,039",962,779,676,290,215
North Carolina,,"25,618",751,"1,289","1,265","1,192","1,211","1,023",969,927,890,882,836,865,921,948,829,823,761,746,730,691,673,644,640,629,587,583,536,489,462,488,360,326,306,194,82,70
North Dakota,,"2,115",62,83,91,59,77,67,72,79,67,67,64,48,61,60,58,65,57,71,63,77,78,71,86,62,57,52,46,51,44,50,34,43,43,33,17,0
Ohio,,"36,709","1,018","1,766","1,811","1,792","1,621","1,418","1,336","1,222","1,058","1,081","1,026","1,058",982,"1,038","1,001","1,034","1,089","1,155","1,111","1,098",966,984,974,"1,034",906,907,863,808,825,768,768,752,651,480,171,137
Oklahoma,,"9,543",209,413,355,366,359,323,346,335,335,343,297,294,308,291,283,266,276,249,289,287,292,256,259,224,237,227,184,216,270,264,248,197,156,139,79,71
Oregon,,"8,083",197,362,350,362,335,289,288,292,259,248,213,213,226,207,252,228,243,283,260,224,295,271,265,230,191,165,166,166,183,193,189,168,126,81,31,32
Pennsylvania,,"46,572",889,"1,630","1,570","1,697","1,826","1,678","1,625","1,567","1,460","1,359","1,459","1,253","1,282","1,450","1,492","1,421","1,538","1,692","1,619","1,535","1,553","1,478","1,397","1,271","1,284","1,199","1,199","1,177","1,083",923,939,896,763,653,394,321
Puerto Rico,,"4,576",74,151,155,135,161,159,136,165,194,196,188,185,166,160,182,186,192,163,175,166,168,131,172,131,100,118,82,52,66,55,54,45,49,31,20,13
Rhode Island,,"2,778",57,117,120,110,100,110,95,108,83,93,65,93,69,73,81,66,72,90,90,100,92,90,105,89,68,67,80,74,53,60,45,42,37,47,18,19
South Carolina,,"13,452",371,753,708,630,606,529,553,427,436,409,387,384,439,428,374,419,404,421,365,335,318,310,411,381,333,307,283,298,242,281,240,244,175,121,66,64
South Dakota,,"2,325",48,86,105,79,100,80,93,82,82,78,70,85,86,53,68,71,76,78,90,91,82,68,69,53,59,59,58,38,53,49,38,32,14,27,17,8
Tennessee,,"18,246",493,910,874,858,776,745,730,675,664,599,605,547,602,529,619,519,524,565,495,535,477,504,426,456,407,410,358,388,365,321,333,290,260,201,104,82
Texas,,"71,788","1,999","3,854","3,851","3,561","3,561","3,102","3,130","3,042","2,683","2,510","2,334","2,283","2,258","2,279","2,122","2,109","2,063","1,997","1,942","1,889","1,880","1,795","1,617","1,586","1,536","1,469","1,326","1,243","1,248","1,179","1,134","1,047",950,604,386,219
Utah,,"7,430",225,413,393,328,303,271,305,264,255,242,245,185,195,212,215,202,215,207,190,231,222,205,175,179,175,173,153,156,165,131,152,129,147,97,36,39
Vermont,,"1,455",23,38,39,45,48,32,40,34,40,42,44,42,56,67,56,58,65,73,54,35,52,36,28,33,46,25,37,39,44,42,28,29,35,28,12,10
Virginia,,"25,700",726,"1,305","1,292","1,302","1,310","1,079","1,008",890,807,766,734,793,754,762,833,778,767,836,767,689,668,597,609,564,563,552,549,567,459,495,469,399,403,303,168,137
Washington,,"16,587",390,717,736,681,727,723,652,614,542,591,566,530,507,527,454,485,468,460,494,539,488,455,442,466,410,392,316,358,321,328,333,277,273,190,72,63
West Virginia,,"5,578",146,208,228,222,249,197,152,179,142,149,194,150,160,171,172,179,162,197,168,157,165,165,157,152,159,164,155,159,116,121,112,121,100,84,41,25
Wisconsin,,"19,407",426,688,639,696,647,608,640,660,600,577,540,539,573,559,572,603,615,648,676,642,615,683,542,513,523,526,536,509,484,448,424,388,382,278,227,181
Wyoming,,"1,226",22,61,48,48,44,52,46,46,43,30,37,40,36,35,45,46,40,30,37,40,37,38,25,36,33,31,32,28,23,21,30,17,24,14,5,6
Unknown,,"31,681",108,107,95,89,143,160,137,185,188,188,137,127,132,136,112,153,150,152,135,117,119,158,184,216,323,371,408,440,393,450,597,"1,070","2,238","5,366","7,904","8,693"
